policy,step,total_bits,exported_bits,retained_bits,contraction_bits,sorted_bits,destroyed_bits,step_efficiency,cumulative_efficiency,capacity_bits,record_entropy_bits,sector_exported_bits,protected_leakage_bits,bandwidth_slack_bits
over_driven_sorter,11,1.410919,1.405225,0.005694,0.013942,0.003369,0.010574,0.241605,0.444097,2.000000,0.307107,1.405225,0.000000,0.010574
over_driven_sorter,12,1.406905,1.405225,0.001680,0.004014,0.000000,0.004014,0.000000,0.443534,2.000000,0.074420,1.405225,0.000000,0.004014
over_driven_sorter,13,1.405628,1.405225,0.000403,0.001276,0.000000,0.001276,0.000000,0.443356,2.000000,0.031420,1.405225,0.000000,0.001276
over_driven_sorter,14,1.405300,1.405225,0.000075,0.000329,0.000000,0.000329,0.000000,0.443310,2.000000,0.010896,1.405225,0.000000,0.000329
over_driven_sorter,15,1.405235,1.405225,0.000010,0.000065,0.000000,0.000065,0.000000,0.443301,2.000000,0.002983,1.405225,0.000000,0.000065
over_driven_sorter,16,1.405226,1.405225,0.000001,0.000009,0.000000,0.000009,0.000000,0.443299,2.000000,0.000604,1.405225,0.000000,0.000009
over_driven_sorter,17,1.405225,1.405225,0.000000,0.000001,0.000000,0.000001,0.000000,0.443299,2.000000,0.000079,1.405225,0.000000,0.000001
over_driven_sorter,18,1.405225,1.405225,0.000000,0.000000,0.000000,0.000000,0.000000,0.443299,2.000000,0.000007,1.405225,0.000000,0.000000
over_driven_sorter,19,1.405225,1.405225,0.000000,0.000000,0.000000,0.000000,0.000000,0.443299,2.000000,0.000000,1.405225,0.000000,0.000000
over_driven_sorter,20,1.405225,1.405225,0.000000,0.000000,0.000000,0.000000,0.000000,0.443299,2.000000,0.000000,1.405225,0.000000,0.000000
over_driven_sorter,21,1.405225,1.405225,0.000000,0.000000,0.000000,0.000000,0.000000,0.443299,2.000000,0.000000,1.405225,0.000000,0.000000
over_driven_sorter,22,1.405225,1.405225,0.000000,0.000000,0.000000,0.000000,,0.443299,2.000000,0.000000,1.405225,0.000000,0.000000
over_driven_sorter,23,1.405225,1.405225,0.000000,0.000000,0.000000,0.000000,,0.443299,2.000000,0.000000,1.405225,0.000000,0.000000
over_driven_sorter,24,1.405225,1.405225,0.000000,0.000000,0.000000,0.000000,,0.443299,2.000000,0.000000,1.405225,0.000000,0.000000
sort_then_contract,0,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,
sort_then_contract,1,3.169925,0.475489,2.694436,0.475489,0.475489,0.000000,1.000000,1.000000,2.000000,1.356780,0.475489,0.000000,0.000000
sort_then_contract,2,3.169925,0.808331,2.361594,0.332842,0.332842,0.000000,1.000000,1.000000,2.000000,1.108554,0.808331,0.000000,0.000000
sort_then_contract,3,3.169925,1.041320,2.128605,0.232989,0.232989,0.000000,1.000000,1.000000,2.000000,0.856793,1.041320,0.000000,0.000000
sort_then_contract,4,3.169925,1.204413,1.965512,0.163093,0.163093,0.000000,1.000000,1.000000,2.000000,0.637158,1.204413,0.000000,0.000000
sort_then_contract,5,3.169925,1.318578,1.851347,0.114165,0.114165,0.000000,1.000000,1.000000,2.000000,0.462415,1.318578,0.000000,0.000000
sort_then_contract,6,3.169925,1.398493,1.771432,0.079915,0.079915,0.000000,1.000000,1.000000,2.000000,0.330658,1.398493,0.000000,0.000000
sort_then_contract,7,3.169925,1.454434,1.715491,0.055941,0.055941,0.000000,1.000000,1.000000,2.000000,0.234361,1.454434,0.000000,0.000000
sort_then_contract,8,3.169925,1.493593,1.676332,0.039159,0.039159,0.000000,1.000000,1.000000,2.000000,0.165245,1.493593,0.000000,0.000000
sort_then_contract,9,3.169925,1.521004,1.648921,0.027411,0.027411,0.000000,1.000000,1.000000,2.000000,0.116157,1.521004,0.000000,0.000000
sort_then_contract,10,3.169925,1.540191,1.629734,0.019188,0.019188,0.000000,1.000000,1.000000,2.000000,0.081507,1.540191,0.000000,0.000000
sort_then_contract,11,3.169925,3.125154,0.044771,1.584963,1.584963,0.000000,1.000000,1.000000,2.000000,1.584963,1.540191,1.584963,0.000000
sort_then_contract,12,3.169925,3.169925,0.000000,0.044771,0.044771,0.000000,1.000000,1.000000,2.000000,0.086035,1.584963,1.584963,0.000000
sort_then_contract,13,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.634310,1.584963,1.584963,0.000000
sort_then_contract,14,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.025735,1.584963,1.584963,0.000000
sort_then_contract,15,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.101490,1.584963,1.584963,0.000000
