true_center,lit_bins,dark_bins,positive_entropy_bits,full_entropy_bits,positive_info_bits,full_info_bits,null_gain_bits,positive_map,full_map,positive_mean,full_mean,positive_abs_error,full_abs_error
0.18,56,5,1.9468883937465813,1.2505292022216632,4.971974843528013,5.668334035052931,0.6963591915249181,0.18125000000000002,0.18125000000000002,0.1784372895700931,0.18270003504103102,0.0012500000000000289,0.0012500000000000289
0.212,52,9,1.5129701525102202,0.8819480577595209,5.405893084764374,6.0369151795150735,0.6310220947506993,0.20958333333333334,0.20958333333333334,0.21018869967654358,0.2113496296343618,0.0024166666666666503,0.0024166666666666503
0.244,49,12,1.0580545364302372,0.5500514833386142,5.860808700844357,6.36881175393598,0.508003053091623,0.245,0.245,0.24397673961087415,0.24439345593962736,0.0010000000000000009,0.0010000000000000009
0.27599999999999997,55,6,1.2267054225858505,0.3631233581983334,5.692157814688744,6.5557398790762615,0.8635820643875171,0.2804166666666667,0.2804166666666667,0.32359409597425387,0.28010970987749956,0.004416666666666735,0.004416666666666735
0.30799999999999994,59,2,1.4461164086064426,1.3553906982497135,5.472746828668152,5.563472539024881,0.09072571035672916,0.30875,0.30875,0.3204731221131773,0.3135859812707667,0.0007500000000000839,0.0007500000000000839
0.33999999999999997,53,8,1.0002017723098209,0.40128480494394947,5.9186614649647735,6.517578432330645,0.5989169673658714,0.33708333333333335,0.33708333333333335,0.3359852981480862,0.3372413771584958,0.002916666666666623,0.002916666666666623
0.372,49,12,0.6479012555235479,0.17302202089040378,6.2709619817510465,6.745841216384191,0.4748792346331442,0.37250000000000005,0.37250000000000005,0.3743123729174816,0.37250839291800614,0.000500000000000056,0.000500000000000056
0.40399999999999997,45,16,1.1116303537296583,0.44086704468761884,5.807232883544936,6.477996192586976,0.6707633090420395,0.4008333333333334,0.4008333333333334,0.4004703527216607,0.4012239803785382,0.0031666666666665955,0.0031666666666665955
0.43599999999999994,44,17,0.8278695504713924,0.14359348209532732,6.090993686803202,6.775269755179267,0.6842760683760651,0.43625,0.43625,0.4351103774701418,0.43614546886041683,0.0002500000000000835,0.0002500000000000835
0.4679999999999999,45,16,2.2330596650370302,1.2268630325957077,4.685803572237564,5.692000204678887,1.0061966324413225,0.4645833333333334,0.4645833333333334,0.460592282655278,0.46698471483383536,0.0034166666666665124,0.0034166666666665124
0.49999999999999994,44,17,1.0260145143757107,0.12782950459618356,5.892848722898884,6.791033732678411,0.8981850097795271,0.5,0.5,0.5001418271206152,0.5000013700875806,5.551115123125783e-17,5.551115123125783e-17
0.532,45,16,2.2488216296285457,1.217572005294499,4.6700416076460485,5.701291231980096,1.0312496243340468,0.5354166666666668,0.5354166666666668,0.541601809203302,0.5330837638072695,0.0034166666666667345,0.0034166666666667345
0.564,44,17,0.8419617512935441,0.14662776033183106,6.07690148598105,6.772235476942764,0.6953339909617131,0.5637500000000001,0.5637500000000001,0.5649737872585053,0.5638591047968659,0.00024999999999986144,0.00024999999999986144
0.5959999999999999,45,16,1.1201762425343784,0.4380933324084736,5.798686994740216,6.480769904866121,0.6820829101259048,0.5991666666666666,0.5991666666666666,0.5996159680794535,0.5987867468265156,0.003166666666666762,0.003166666666666762
0.6279999999999999,49,12,0.657619352960762,0.17355883096608296,6.261243884313832,6.745304406308511,0.4840605219946791,0.6275000000000001,0.6275000000000001,0.625965658972293,0.6274957098446496,0.0004999999999998339,0.0004999999999998339
0.6599999999999999,53,8,1.0160712876196452,0.3970963478445163,5.902791949654949,6.521766889430078,0.6189749397751289,0.6629166666666667,0.6629166666666667,0.6641115574980697,0.6627711815012919,0.0029166666666667895,0.0029166666666667895
0.692,59,2,1.4601466507870395,1.3712751808964854,5.458716586487555,5.5475880563781095,0.08887146989055417,0.69125,0.69125,0.6793449269930925,0.6861584956248014,0.0007499999999999174,0.0007499999999999174
0.724,55,6,1.1226992698136586,0.366125050992653,5.796163967460936,6.552738186281942,0.7565742188210056,0.7195833333333334,0.7195833333333334,0.6887037531623134,0.7198877971487578,0.004416666666666624,0.004416666666666624
0.7559999999999998,51,10,1.009630893020229,0.5604806549958843,5.909232344254366,6.35838258227871,0.4491502380243446,0.755,0.755,0.7557698254484105,0.755663958586454,0.0009999999999997788,0.0009999999999997788
0.7879999999999998,53,8,1.3743255889119788,0.8927123089301741,5.544537648362616,6.02615092834442,0.4816132799818047,0.7904166666666667,0.7904166666666667,0.7892781077216816,0.7886657098245717,0.0024166666666668446,0.0024166666666668446
0.8199999999999998,56,5,1.9332728647859236,1.2190063895018777,4.985590372488671,5.6998568477727165,0.714266475284046,0.8187500000000001,0.8187500000000001,0.8219156199936464,0.8175297070522587,0.0012499999999997513,0.0012499999999997513
