candidate_center,positive_only_posterior,positive_plus_dark_posterior
0.075,8.384466316439009e-10,1.0174122419137798e-15
0.08208333333333333,7.978718001574638e-10,7.682114794807053e-15
0.08916666666666667,2.7902162127859255e-09,1.3440999294344112e-13
0.09625,9.762180287827014e-09,1.4567298847591814e-12
0.10333333333333333,7.799012737088528e-08,1.8757106874717482e-11
0.11041666666666666,2.318568404708301e-07,9.786819358730362e-11
0.1175,6.1312057230918645e-06,2.7186853223222265e-09
0.12458333333333334,9.703859754016564e-05,6.988303969049124e-08
0.13166666666666665,0.0019289044994218437,2.38326515204208e-06
0.13874999999999998,0.004524750353817204,5.590572183941581e-06
0.14583333333333331,0.0002404350761452049,4.859054113490364e-07
0.15291666666666667,1.33648076847217e-05,4.432484253715429e-08
0.16,7.338844027724707e-06,2.4339527631624614e-08
0.16708333333333333,3.4205181724845006e-07,1.1344265698949888e-09
0.1741666666666667,7.234951135367481e-09,2.399496329496544e-11
0.18125000000000002,2.162775021233393e-10,7.172917450136648e-13
0.18833333333333335,6.658992508073831e-11,2.2084776776390167e-13
0.19541666666666668,1.54001020564191e-12,5.107496604588042e-15
0.2025,7.661161944860246e-14,2.540850604575237e-16
0.20958333333333334,1.8047074204158454e-15,5.985373985367002e-18
0.21666666666666667,2.055538012664138e-15,6.817262237500851e-18
0.22375,9.286052432329693e-18,3.0797511012859016e-20
0.23083333333333333,9.164487076949056e-18,6.320899777976726e-21
0.23791666666666667,9.90102733890481e-18,1.4387454739018272e-21
0.245,2.86341836019481e-17,3.518437962057904e-21
0.2520833333333334,1.2865175175468368e-16,2.87186456196148e-21
0.25916666666666666,1.4113583129482622e-15,6.818937292834388e-21
0.26625000000000004,1.1340798690832018e-14,4.2432876485601116e-20
0.2733333333333334,8.102968084698208e-15,5.191252811298025e-21
0.2804166666666667,2.831251727958773e-13,4.0375606396669226e-20
0.28750000000000003,7.612285481244921e-12,1.9266405466083038e-19
0.29458333333333336,2.429004167260459e-10,4.261164046809892e-18
0.3016666666666667,1.0413982494349194e-08,3.666234968617559e-17
0.30875,4.81811486988877e-09,2.4116656847129696e-18
0.31583333333333335,5.078927464233862e-09,2.5491345299505317e-18
0.3229166666666667,2.3782913604653994e-09,3.474107880806666e-19
0.33,2.336032177355679e-10,1.2125488346231615e-20
0.33708333333333335,2.02438256790645e-12,2.117681489408465e-22
0.34416666666666673,6.020215840552104e-14,8.872532825963623e-24
0.35125000000000006,7.657847065019356e-16,2.212677317268503e-25
0.35833333333333334,1.0546524922184344e-16,5.912712354488031e-26
0.36541666666666667,2.8827675422593633e-18,4.276440361886597e-27
0.37250000000000005,8.714559123643951e-21,3.365127067248764e-29
0.3795833333333334,1.7175486720180168e-23,1.6986994445724729e-31
0.3866666666666667,2.536498595466095e-24,2.5086618070698586e-32
0.39375000000000004,3.0453836180536455e-26,7.5918889495491705e-34
0.4008333333333334,1.96305018537345e-27,1.2141419334910502e-34
0.4079166666666667,1.6729155532368483e-28,2.87242300180532e-35
0.41500000000000004,1.805070463068588e-27,2.064541798314208e-34
0.42208333333333337,3.0133411576292824e-27,2.5941013962102493e-34
0.42916666666666675,1.2252488023427192e-27,7.143924216047613e-35
0.43625,1.9909190851208263e-27,6.272065132764255e-35
0.44333333333333336,3.0552693451839253e-27,6.39151008841542e-35
0.4504166666666667,2.2863860258827747e-26,5.978260573511398e-34
0.4575000000000001,7.6172919650475255e-28,1.0499564738047268e-35
0.4645833333333334,4.105428121188161e-29,3.6993370690141616e-37
0.47166666666666673,1.263090547882583e-29,7.381266613255876e-38
0.47875,1.5320945686603118e-29,4.894610679029225e-38
0.4858333333333334,3.5964231541868157e-28,2.6863565967856866e-36
0.4929166666666667,3.386495766215657e-28,1.3898394488170582e-35
0.5,2.6476344197114064e-26,1.0163378095611945e-32
0.5070833333333334,1.0755867357274935e-25,2.7332414451285385e-31
0.5141666666666667,1.575903135689114e-23,4.327190746940625e-29
0.52125,8.947887574254103e-21,1.6049307034378147e-25
0.5283333333333333,3.348342266282033e-20,3.8615398541383244e-24
0.5354166666666668,7.792186389715969e-18,5.698357233687953e-21
0.5425000000000001,1.359965993874741e-15,9.945311458407965e-19
0.5495833333333333,2.259246729913505e-13,1.0328871220103081e-15
0.5566666666666666,1.3469459935989928e-12,3.794484813574428e-14
0.5637500000000001,1.7871574730083328e-11,3.00741911452726e-12
0.5708333333333334,2.316554064028388e-10,8.741067258065394e-11
0.5779166666666667,5.894384697265934e-10,2.224131691281996e-10
0.585,4.7460271462187294e-09,3.782215768810849e-09
0.5920833333333333,1.3830912639298618e-08,1.1022165333178616e-08
0.5991666666666666,4.269674343097624e-07,3.402599507044485e-07
0.6062500000000001,6.193756018253362e-05,4.9359434656960285e-05
0.6133333333333334,0.001839893669114867,0.0017556614210163456
0.6204166666666666,0.008018937897989478,0.007673430995175753
0.6275000000000001,0.846019621863358,0.9740290693602626
0.6345833333333334,0.11764647496305355,0.016119448908713373
0.6416666666666666,0.017002076339092318,0.0003352101504846294
0.64875,0.0016365126146499994,2.710131587590376e-05
0.6558333333333333,0.0008535409958350196,1.7348967595895643e-06
0.6629166666666667,8.45093631438233e-05,2.5189287326555464e-08
0.67,1.340171704746104e-05,4.790398612124399e-10
0.6770833333333334,1.7861928527502351e-06,4.9706983231645706e-11
0.6841666666666667,6.437554739430641e-07,1.0855193521936192e-12
0.69125,9.371777088715449e-07,3.38057325586061e-14
0.6983333333333334,3.8701548395332145e-07,3.1548065718183507e-16
0.7054166666666667,5.104767478980075e-10,4.106983205838369e-19
0.7125,6.78709086411769e-13,1.2711491729484105e-23
0.7195833333333334,4.056508206287116e-16,1.8009325491420714e-28
0.7266666666666667,2.557144558810056e-19,6.213311051812023e-33
0.73375,1.1311673976025538e-19,2.7484933805400288e-33
0.7408333333333333,8.104087176672104e-23,2.8447431876769606e-37
0.7479166666666668,6.0753908103198524e-27,2.0669093881292028e-41
0.755,8.44627147926404e-31,2.873506966090906e-45
0.7620833333333333,2.680043383900319e-33,8.841666540725694e-48
0.7691666666666667,6.03807700767653e-35,1.9327197763789686e-49
0.77625,5.759152160267106e-36,1.7895162926802544e-50
0.7833333333333334,2.4958563474005012e-34,7.755265833527564e-49
0.7904166666666667,7.371354933519948e-34,2.22462266394368e-48
0.7975,2.53423186589504e-30,7.43204946693288e-45
0.8045833333333334,4.2688372050713004e-27,1.2519063350643297e-41
0.8116666666666666,3.323640551036078e-24,5.594123075524415e-38
0.8187500000000001,4.439302539016334e-24,7.268040966380713e-38
0.8258333333333333,2.9218724603271664e-21,2.785699704984694e-34
0.8329166666666666,1.8622626744920782e-18,1.818197623545294e-30
0.8400000000000001,2.4008831060356966e-15,2.4055479402195443e-26
0.8470833333333333,1.2859175444265804e-15,1.3129387088064147e-25
0.8541666666666667,5.386298609501276e-13,5.435924806359533e-22
0.8612500000000001,2.5752011058645134e-10,2.578389298047549e-19
