access_probability,capture_probability,useless_noise,context_correlation,needed_access_mi_bits,protected_leakage_cmi_bits,protected_remainder_bits,record_innovation_bits,structured_fraction,needed_access_norm,protected_leakage_norm,protected_remainder_norm,record_burden,self_limiting_score,regime
0.82,0.0,0.0,0.35,0.82,0.0,0.9097361225311663,1.50007704572828,0.5466385892211917,0.82,0.0,1.0000000000000002,0.05470268183803029,0.42372351376360085,protected_forgetting_interval
0.82,0.0,0.02,0.35,0.82,0.0,0.9097361225311663,1.52007704572828,0.539446340765663,0.82,0.0,1.0000000000000002,0.05612907636570352,0.41751752704589484,protected_forgetting_interval
0.82,0.0,0.04,0.35,0.82,0.0,0.9097361225311663,1.54007704572828,0.5324408946126679,0.82,0.0,1.0000000000000002,0.057572167298391874,0.41146543704824806,protected_forgetting_interval
0.82,0.0,0.06,0.35,0.82,0.0,0.9097361225311663,1.56007704572828,0.5256150664130854,0.82,0.0,1.0000000000000002,0.05903187142991018,0.40556136082059097,protected_forgetting_interval
0.82,0.0,0.08,0.35,0.82,0.0,0.9097361225311663,1.58007704572828,0.5189620355645698,0.82,0.0,1.0000000000000002,0.06050810468610479,0.3997997136385822,protected_forgetting_interval
0.82,0.0,0.1,0.35,0.82,0.0,0.9097361225311663,1.60007704572828,0.5124753224784713,0.82,0.0,1.0000000000000002,0.062000782132918486,0.394175190362009,protected_forgetting_interval
0.82,0.0,0.12,0.35,0.82,0.0,0.9097361225311663,1.62007704572828,0.5061487675306096,0.82,0.0,1.0000000000000002,0.06350981798452893,0.3886827481739505,protected_forgetting_interval
0.82,0.0,0.14,0.35,0.82,0.0,0.9097361225311663,1.64007704572828,0.4999765115521613,0.82,0.0,1.0000000000000002,0.06503512561155922,0.3833175905828406,protected_forgetting_interval
0.82,0.0,0.16,0.35,0.82,0.0,0.9097361225311663,1.6600770457282799,0.49395297773077995,0.82,0.0,1.0000000000000002,0.06657661754935984,0.378075152580925,protected_forgetting_interval
0.82,0.0,0.18,0.35,0.82,0.0,0.9097361225311663,1.6800770457282799,0.4880728548044333,0.82,0.0,1.0000000000000002,0.06813420550636007,0.37295108686275213,protected_forgetting_interval
0.82,0.0,0.2,0.35,0.82,0.0,0.9097361225311663,1.70007704572828,0.4823310814415049,0.82,0.0,1.0000000000000002,0.06970780037248903,0.36794125101640573,protected_forgetting_interval
0.82,0.0,0.22,0.35,0.82,0.0,0.9097361225311663,1.72007704572828,0.4767228317106065,0.82,0.0,1.0000000000000002,0.07129731222766422,0.36304169560830496,protected_forgetting_interval
0.82,0.0,0.24,0.35,0.82,0.0,0.9097361225311663,1.74007704572828,0.47124350155242856,0.82,0.0,1.0000000000000002,0.0729026503503466,0.35824865308968074,protected_forgetting_interval
0.82,0.0,0.26,0.35,0.82,0.0,0.9097361225311663,1.76007704572828,0.46588869617392376,0.82,0.0,1.0000000000000002,0.07452372322616152,0.3535585274593701,protected_forgetting_interval
0.82,0.0,0.28,0.35,0.82,0.0,0.9097361225311663,1.78007704572828,0.4606542182922845,0.82,0.0,1.0000000000000002,0.07616043855658394,0.34896788462344713,protected_forgetting_interval
0.82,0.0,0.3,0.35,0.82,0.0,0.9097361225311663,1.80007704572828,0.45553605716262113,0.82,0.0,1.0000000000000002,0.07781270326768663,0.34447344339749325,protected_forgetting_interval
0.82,0.0,0.32,0.35,0.82,0.0,0.9097361225311663,1.82007704572828,0.45053037832906007,0.82,0.0,1.0000000000000002,0.07948042351895102,0.3400720671020768,protected_forgetting_interval
0.82,0.0,0.34,0.35,0.82,0.0,0.9097361225311663,1.84007704572828,0.4456335140442198,0.82,0.0,1.0000000000000002,0.08116350471213829,0.3357607557063082,protected_forgetting_interval
