g,gamma_phi,gamma_thermal,memory,record,coherence,mixedness,classical_score,quantum_score,regime
0.0,0.0,0.0,0.9999999999999983,0.0,0.8034820387238456,4.1304950338020633e-11,0.0,0.0,crystallized
0.03333333333333333,0.03333333333333333,0.0003107658157602664,0.914712449236022,0.1247413680202147,0.7269464741581317,0.2507205897946841,0.0997985614378364,0.07254821236328886,productive
0.06666666666666667,0.06666666666666667,0.001238938053097345,0.8362535765301417,0.2334345296982499,0.6572566173864859,0.4024188609002762,0.1559322748017068,0.10248751947754978,productive
0.1,0.1,0.0027722772277227726,0.7641068410273042,0.32767535191875125,0.5938548981561191,0.5150440922508815,0.18590087130622424,0.11039814299669161,productive
0.13333333333333333,0.13333333333333333,0.004890829694323145,0.6978066214507838,0.40893000820166203,0.5362322616155548,0.602740233623455,0.1993568787980453,0.10690158998649389,productive
0.16666666666666666,0.16666666666666666,0.007567567567567568,0.6369290810331857,0.47854899577647647,0.4839209846141208,0.672648201372153,0.20228959021709406,0.09789217767504317,productive
0.2,0.2,0.01076923076923077,0.5810845941450871,0.537777707719533,0.43648887189315855,0.7291568507799518,0.19856564623430953,0.08667169492154977,productive
0.23333333333333334,0.23333333333333334,0.014457323498419388,0.5299116764221549,0.5877643051532604,0.39353469745623126,0.7752485980281546,0.19073247600974197,0.07505984724157169,productive
0.26666666666666666,0.26666666666666666,0.018589211618257263,0.48307230707157484,0.6295656043806308,0.354684726749901,0.8130768676563708,0.1804869195531451,0.06401595374363864,productive
0.3,0.3,0.02311926605504587,0.4402484863964516,0.6641516259886913,0.31959013654470736,0.8442599381499126,0.16896442850479163,0.0539993647770448,productive
0.3333333333333333,0.3333333333333333,0.027999999999999997,0.4011398391141678,0.6924093560260572,0.28792514345110887,0.8700481188662078,0.15692374980856616,0.04518229317451733,productive
0.36666666666666664,0.36666666666666664,0.033183153770812934,0.36546205766761136,0.7151461550062652,0.2593856585969045,0.8914267439085655,0.14486767983715884,0.03757659854396695,productive
0.4,0.4,0.038620689655172416,0.3329459795515927,0.733093131083131,0.2336883031643461,0.9091835703704495,0.13312346103352038,0.031109395720288327,productive
0.43333333333333335,0.43333333333333335,0.04426566884939196,0.30333710653928286,0.7469086803487283,0.2105696441703058,0.9239550418795757,0.12189712642590714,0.025667834536886047,dissolved
0.4666666666666667,0.4666666666666667,0.05007299270072993,0.27639539796930046,0.7571822982090011,0.1897855385943484,0.9362593079463704,0.111310731604891,0.021125167148965198,dissolved
0.5,0.5,0.05600000000000001,0.25189520073474797,0.7644386863052536,0.1711105034343797,0.9465205651287892,0.10142817634560829,0.017355426316928078,dissolved
0.5333333333333333,0.5333333333333333,0.06200692041522492,0.2296252112656305,0.7691421213709811,0.15433705682999166,0.9550874892330303,0.0922733096239319,0.014241191031320195,dissolved
0.5666666666666667,0.5666666666666667,0.06805719091673675,0.20938839628033812,0.7717010149835741,0.13927499920074302,0.9622475046916934,0.08384274193618226,0.011677197816149886,dissolved
0.6,0.6,0.07411764705882354,0.19100182702893806,0.7724725737692523,0.12575062241368518,0.9682380300560851,0.0761149753121814,0.009571505520509092,dissolved
0.6333333333333333,0.6333333333333333,0.08015860428231562,0.1742964047889565,0.771767464599547,0.11360584907450795,0.9732554658714477,0.06905693501977928,0.007845271737405147,dissolved
0.6666666666666666,0.6666666666666666,0.08615384615384615,0.1591164730094022,0.7698543947259963,0.10269731343947242,0.9774624559676365,0.06262864332159562,0.006431793413486826,dissolved
0.7,0.7,0.09208053691275167,0.14531932390347682,0.7669645289128357,0.09289540083145968,0.9809938009512081,0.05678654914114551,0.0052752092443020945,dissolved
0.7333333333333333,0.7333333333333333,0.09791907514450868,0.1327746150734607,0.7632956812803401,0.08408326464160486,0.9839613017500306,0.05148587641880706,0.004329100572227517,dissolved
0.7666666666666667,0.7666666666666667,0.10365290412876141,0.12136371574701622,0.7590162363061062,0.07615583986036843,0.9864577424663117,0.04668225165204265,0.0035551260811343796,dissolved
0.8,0.8,0.10926829268292684,0.11097900330841871,0.7542687695092098,0.06901887038772314,0.9885601739291746,0.04233280059241449,0.002921762077237185,dissolved
0.8333333333333334,0.8333333333333334,0.11475409836065574,0.10152312986741642,0.7491733526674729,0.06258796477408486,0.9903326249890619,0.03839685443975912,0.0024031809731113077,dissolved
0.8666666666666667,0.8666666666666667,0.1201015228426396,0.09290827635717686,0.7438305404188398,0.05678769204790515,0.9918283432292748,0.03483637018892624,0.001978277062355567,dissolved
0.9,0.9,0.12530386740331495,0.08505540869308321,0.7383240445922444,0.051550726256444336,0.9930916475090457,0.03161614360621309,0.001629835164328324,dissolved
0.9333333333333333,0.9333333333333333,0.1303562945368171,0.07789354733310075,0.732723109685664,0.046817045522337175,0.9941594597564739,0.028703873784717632,0.0013438305656465462,dissolved
0.9666666666666667,0.9666666666666667,0.13525560022975305,0.07135905853877185,0.7270846078055934,0.04253318893901948,0.9950625715048754,0.02607012349598107,0.0011088454883181338,dissolved
1.0,1.0,0.14,0.06539497306451074,0.7214548744306154,0.03865157255570294,0.9958266910255946,0.023688208401778703,0.0009155865057559614,dissolved
1.0333333333333334,1.0333333333333334,0.14458893068242884,0.05995033620178412,0.7158713079139467,0.03512986404767409,0.9964733090221606,0.021534039807788435,0.0007564878908448096,dissolved
1.0666666666666667,1.0666666666666667,0.14902286902286901,0.054979592377222754,0.7103637560343443,0.031930414406032843,0.9970204143441194,0.0195859394914722,0.0006253871644941915,dissolved
1.1,1.1,0.15330316742081454,0.05044200815634245,0.7049557124450521,0.02901974406921219,0.997483085785738,0.017824440855254396,0.0005172607117962922,dissolved
1.1333333333333333,1.1333333333333333,0.15743190661478598,0.046301139805365564,0.6996653448147909,0.026368080304355706,0.9978739815535124,0.016232087979442162,0.0004280089993492979,dissolved
1.1666666666666667,1.1666666666666667,0.16141176470588234,0.04252435565966878,0.6945063750135761,0.023948942275990624,0.9982037442600178,0.014793242851549405,0.00035428251912646765,dissolved
1.2,1.2,0.16524590163934427,0.039082429369393434,0.6894888300344927,0.021738770061403612,0.9984813362041001,0.01349391088998687,0.00029334102606649474,dissolved
1.2333333333333334,1.2333333333333334,0.16893785808726314,0.03594922732417191,0.6846196805852076,0.019716593841160576,0.998714317125335,0.01232159558721049,0.0002429398956680657,dissolved
1.2666666666666666,1.2666666666666666,0.17249146757679182,0.03310152177493075,0.6799033825205705,0.017863739570326474,0.998909074487979,0.011265194406346673,0.0002012384990840755,dissolved
1.3,1.3,0.17591078066914498,0.030518970188574374,0.675342334582943,0.01616356758887544,0.9990710145840586,0.01031494983238697,0.0001667263887916462,dissolved
1.3333333333333333,1.3333333333333333,0.1792,0.028184311562987414,0.6709372643108042,0.01489011532294504,0.9992047212858375,0.009462471770702604,0.00014089729590587371,dissolved
1.3666666666666667,1.3666666666666667,0.18236342502905856,0.02608384202859383,0.6666875524928847,0.015066855750225249,0.9993140880733717,0.008700850327110135,0.00013109445678286858,dissolved
1.4,1.4,0.1854054054054054,0.02420824091532967,0.6625915051964181,0.015235207649014695,0.9994024279699177,0.008024879973027846,0.00012226071274749867,dissolved
1.4333333333333333,1.4333333333333333,0.18833030192797384,0.022553802272776327,0.658646581187047,0.015394564583270312,0.999472565200342,0.007431409897821725,0.00011440331961677078,dissolved
1.4666666666666666,1.4666666666666666,0.19114245416078987,0.021124010537597566,0.6548495814814376,0.015544525760015672,0.9995269117149759,0.006919796856700406,0.00010756496049305493,dissolved
1.5,1.5,0.1938461538461539,0.019930994103911037,0.6511968068247354,0.015684858184365484,0.9995675311682269,0.006492306365077411,0.00010183090462569256,dissolved
1.5333333333333334,1.5333333333333334,0.1964456233421751,0.01899540061108616,0.6476841880543337,0.015815464995031243,0.9995961924866181,0.006153994336861206,9.732828201424891e-05,dissolved
1.5666666666666667,1.5666666666666667,0.19894499839176588,0.018341797027108826,0.6443073935884857,0.015936358999390113,0.9996144147872968,0.005911156094004545,9.420230561548904e-05,dissolved
1.6,1.6,0.20134831460674157,0.017987049689375523,0.6410619176521963,0.016047640582293656,0.9996235051009953,0.005767576929444592,9.255600159445567e-05,dissolved
1.6333333333333333,1.6333333333333333,0.20365949712208423,0.017925437886538467,0.6379431523128402,0.016149479293500916,0.9996245901010067,0.005719851659085765,9.237262593030242e-05,dissolved
1.6666666666666667,1.6666666666666667,0.2058823529411765,0.018122665000516385,0.6349464459338722,0.016242098528659526,0.9996186428321714,0.005755654990005275,9.348391544463653e-05,dissolved
1.7,1.7,0.20802056555269927,0.01852568758304753,0.6320671502573516,0.016325762811356906,0.9996065052630628,0.005857043087679691,9.562069622535612e-05,dissolved
1.7333333333333334,1.7333333333333334,0.21007769145394006,0.01907914300185675,0.6293006579861466,0.016400767261641015,0.9995889073439391,0.006005726517972238,9.849852285832837e-05,dissolved
1.7666666666666666,1.7666666666666666,0.212057158263683,0.019736215979048632,0.6266424324468747,0.016467428901903315,0.9995664831371265,0.006186455965026862,0.00010187502375883551,dissolved
1.8,1.8,0.21396226415094344,0.02046158928370253,0.6240880306679576,0.016526079506100966,0.9995397844909094,0.006387854917789685,0.00010556619824483038,dissolved
1.8333333333333333,1.8333333333333333,0.21579617834394904,0.02123006789506666,0.6216331209975484,0.016577059744612932,0.9995092926490744,0.00660189469164031,0.00010944000273096439,dissolved
1.8666666666666667,1.8666666666666667,0.21756194251734393,0.02202407738041601,0.619273496208225,0.01662071441600365,0.9994754281230014,0.006823040998938622,0.0001134038158920431,dissolved
1.9,1.9,0.21926247288503256,0.02283142146643755,0.6170050828845968,0.016657388589766193,0.9994385590992075,0.007047506085061634,0.00011739304744761348,dissolved
1.9333333333333333,1.9333333333333333,0.22090056285178242,0.023643614484326326,0.6148239477623596,0.016687424511732152,0.9993990086104895,0.007272698402177713,0.00012136260558293563,dissolved
1.9666666666666666,1.9666666666666666,0.2224788860990641,0.02445472519599938,0.6127263015794168,0.01671115914709865,0.9993570606616968,0.007496843581407933,0.00012528094618981296,dissolved
2.0,2.0,0.22400000000000003,0.02526059410420084,0.6107085009084893,0.016728922255629625,0.999312965470314,0.007718729171317444,0.00012912602021923001,dissolved
2.033333333333333,2.033333333333333,0.22546634927504872,0.026058304913054105,0.6087670483636632,0.016741034910116283,0.9992669439563612,0.007937533077957632,0.00013288251835829145,dissolved
2.066666666666667,2.066666666666667,0.22688026981450254,0.026845824793740522,0.6068985915083731,0.016747808383135252,0.9992191915947511,0.008152707363519742,0.00013653998072800445,dissolved
2.1,2.1,0.22824399260628467,0.02762175641745651,0.6050999207375983,0.016749543338910922,0.9991698817253823,0.008363898575721312,0.00014009148167629947,dissolved
2.1333333333333333,2.1333333333333333,0.22955964771817455,0.028385164524741987,0.6033679663609348,0.016746529277034544,0.9991191684013558,0.008570892365884304,0.00014353269993559335,dissolved
2.1666666666666665,2.1666666666666665,0.23082926829268294,0.02913545281637024,0.6016997950744265,0.016739044183196054,0.9990671888432102,0.008773574455548277,0.00014686125045598286,dissolved
2.2,2.2,0.23205479452054797,0.02987227531637776,0.6000926059764111,0.016727354349179085,0.9990140655566287,0.008971902765786337,0.00015007619674968796,dissolved
2.2333333333333334,2.2333333333333334,0.23323807756541104,0.03059547171412905,0.5985437262552457,0.016711714330386762,0.9989599081622869,0.00916588728243148,0.00015317768984851994,dissolved
2.2666666666666666,2.2666666666666666,0.23438088341781319,0.03130501964111589,0.5970506066537744,0.01669236701422974,0.9989048149791394,0.009355575360931224,0.00015616669755394883,dissolved
