noise_strength,structure_fraction,structured_syndrome_mi_bits,aligned_logical_env_mi_bits,unaligned_logical_env_mi_bits,unaligned_coherence,aligned_coherence,alignment_gain,aligned_entanglement_fidelity,unaligned_entanglement_fidelity,aligned_coherent_information_bits,unaligned_coherent_information_bits,noise_tailored_score,regime
0.0,0.0,6.205327753771953e-18,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999,0.999999999999994,0.999999999999994,6.205327753771951e-18,no_syndrome
0.016666666666666666,0.0,6.205327753771953e-18,0.00040063734460793476,0.00040063734460793476,0.9997222607988969,0.9997222607988969,0.0,0.9998611303994485,0.9998611303994485,0.9980201949267807,0.9980201949267807,6.201118895448892e-18,no_syndrome
0.03333333333333333,0.0,6.205327753771953e-18,0.0016012160162659494,0.0016012160162659494,0.998889505944279,0.998889505944279,0.0,0.9994447529721395,0.9994447529721395,0.9931944054444043,0.9931944054444043,6.188511737948948e-18,no_syndrome
0.05,0.0,6.205327753771953e-18,0.0035977506284383676,0.0035977506284383676,0.9975031223974599,0.9975031223974599,0.0,0.9987515611987299,0.9987515611987299,0.986157993104831,0.986157993104831,6.167564331407688e-18,no_syndrome
0.06666666666666667,0.0,6.205327753771953e-18,0.006383647312259155,0.006383647312259155,0.9955654174830926,0.9955654174830926,0.0,0.9977827087415463,0.9977827087415463,0.9772548479724511,0.9772548479724511,6.138372757415458e-18,no_syndrome
0.08333333333333333,0.0,6.205327753771953e-18,0.009949774482154505,0.009949774482154505,0.9930796124903158,0.9930796124903158,0.0,0.9965398062451579,0.9965398062451579,0.9667297954741548,0.9667297954741548,6.101070145232066e-18,no_syndrome
0.1,0.0,6.205327753771953e-18,0.014284558300406536,0.014284558300406536,0.9900498337491679,0.9900498337491679,0.0,0.9950249168745839,0.9950249168745839,0.9547756786531887,0.9547756786531887,6.055825331288083e-18,no_syndrome
0.11666666666666667,0.0,6.205327753771953e-18,0.01937409963511516,0.01937409963511527,0.986481101216871,0.986481101216871,0.0,0.9932405506084355,0.9932405506084355,0.9415531591358457,0.9415531591358457,6.0028411954593076e-18,no_syndrome
0.13333333333333333,0.0,6.205327753771953e-18,0.025202308883274904,0.025202308883274904,0.9823793146181774,0.9823793146181774,0.0,0.9911896573090887,0.9911896573090887,0.9272009566149837,0.9272009566149837,5.9423527130439524e-18,no_syndrome
0.15,0.0,6.205327753771953e-18,0.03175105486204011,0.03175105486204011,0.9777512371933361,0.9777512371933361,0.0,0.9888756185966681,0.9888756185966681,0.9118418176409339,0.9118418176409339,5.874624764603153e-18,no_syndrome
0.16666666666666666,0.0,6.205327753771953e-18,0.039000324024108024,0.039000324024108024,0.9726044771163481,0.9726044771163481,0.0,0.9863022385581741,0.9863022385581741,0.8955862818188716,0.8955862818188716,5.799949747044233e-18,no_syndrome
0.18333333333333332,0.0,6.205327753771953e-18,0.046928386478396034,0.046928386478396034,0.966947466654964,0.966947466654964,0.0,0.983473733327482,0.983473733327482,0.8785351960047737,0.8785351960047737,5.7186450288744624e-18,no_syndrome
0.2,0.0,6.205327753771953e-18,0.05551196564049443,0.05551196564049443,0.960789439152323,0.960789439152323,0.0,0.9803947195761615,0.9803947195761615,0.8607814647773318,0.8607814647773318,5.631050290831451e-18,no_syndrome
0.21666666666666667,0.0,6.205327753771953e-18,0.06472640874790025,0.06472640874790025,0.954140403918177,0.954140403918177,0.0,0.9770702019590884,0.9770702019590884,0.8424113093851976,0.8424113093851976,5.53752479049671e-18,no_syndrome
0.23333333333333334,0.0,6.205327753771953e-18,0.07454585591038965,0.07454585591038965,0.9470111191252553,0.9470111191252553,0.0,0.9735055595626276,0.9735055595626276,0.8235051968123432,0.8235051968123432,5.438444586364167e-18,no_syndrome
0.25,0.0,6.205327753771953e-18,0.08494340579418302,0.08494340579418302,0.9394130628134756,0.9394130628134756,0.0,0.9697065314067378,0.9697065314067378,0.8041385399198296,0.8041385399198296,5.334199753439532e-18,no_syndrome
0.26666666666666666,0.0,6.205327753771953e-18,0.09589127643814654,0.09589127643814654,0.9313584021113518,0.9313584021113518,0.0,0.9656792010556758,0.9656792010556758,0.784382234380514,0.784382234380514,5.225191618991728e-18,no_syndrome
0.2833333333333333,0.0,6.205327753771953e-18,0.10736096005833118,0.10736096005833129,0.9228599607900652,0.9228599607900652,0.0,0.9614299803950326,0.9614299803950326,0.7643030766852089,0.7643030766852089,5.111830043702649e-18,no_syndrome
0.3,0.0,6.205327753771953e-18,0.11932337100773138,0.11932337100773138,0.913931185271228,0.913931185271228,0.0,0.956965592635614,0.956965592635614,0.7439640939400989,0.7439640939400989,4.994530770251939e-18,no_syndrome
0.31666666666666665,0.0,6.205327753771953e-18,0.13174898632026422,0.13174898632026422,0.9045861092143461,0.9045861092143461,0.0,0.9522930546071731,0.9522930546071731,0.7234248073101558,0.7234248073101558,4.873712858375439e-18,no_syndrome
