candidate_lens_center,bright_only_posterior,bright_plus_dark_posterior
0.12,0.0,0.0
0.12584615384615383,0.0,0.0
0.1316923076923077,0.0,0.0
0.13753846153846153,0.0,0.0
0.1433846153846154,0.0,0.0
0.14923076923076922,0.0,0.0
0.15507692307692308,0.0,0.0
0.16092307692307692,0.0,0.0
0.16676923076923078,0.0,0.0
0.17261538461538461,0.0,0.0
0.17846153846153845,0.0,0.0
0.18430769230769228,0.0,0.0
0.19015384615384617,0.0,0.0
0.196,0.0,0.0
0.20184615384615384,0.0,0.0
0.20769230769230768,0.0,0.0
0.21353846153846154,0.0,0.0
0.2193846153846154,0.0,0.0
0.22523076923076923,0.0,0.0
0.23107692307692307,0.0,0.0
0.2369230769230769,0.0,0.0
0.24276923076923076,0.0,0.0
0.2486153846153846,0.0,0.0
0.25446153846153846,0.0,0.0
0.26030769230769235,0.0,0.0
0.2661538461538462,0.0,0.0
0.272,0.0,0.0
0.27784615384615385,0.0,0.0
0.2836923076923077,0.0,0.0
0.2895384615384615,0.0,0.0
0.29538461538461536,0.0,0.0
0.3012307692307692,0.0,0.0
0.3070769230769231,0.0,0.0
0.31292307692307697,0.0,0.0
0.3187692307692308,0.0,0.0
0.32461538461538464,0.0,0.0
0.3304615384615385,0.0,0.0
0.3363076923076923,0.0,0.0
0.34215384615384614,0.0,0.0
0.348,0.0,0.0
0.3538461538461538,0.0,0.0
0.3596923076923077,0.0,0.0
0.36553846153846153,0.0,0.0
0.37138461538461537,0.0,0.0
0.3772307692307692,0.0,0.0
0.3830769230769231,0.0,0.0
0.3889230769230769,0.0,0.0
0.39476923076923076,0.0,0.0
0.40061538461538465,0.0,0.0
0.4064615384615385,0.0,0.0
0.4123076923076923,0.0,0.0
0.41815384615384615,0.0,0.0
0.42400000000000004,0.0,0.0
0.4298461538461539,0.0,0.0
0.43569230769230766,0.0,0.0
0.4415384615384615,0.0,0.0
0.4473846153846154,0.0,0.0
0.4532307692307692,0.0,0.0
0.45907692307692305,0.0,0.0
0.46492307692307694,0.0,0.0
0.4707692307692308,0.0,0.0
0.4766153846153846,0.0,0.0
0.48246153846153844,0.0,0.0
0.48830769230769233,0.0,0.0
0.49415384615384617,0.0,0.0
0.5,0.0,0.0
0.5058461538461538,0.0,0.0
0.5116923076923077,0.0,0.0
0.5175384615384615,0.0,0.0
0.5233846153846153,0.0,0.0
0.5292307692307692,0.0,0.0
0.535076923076923,0.0,0.0
0.5409230769230768,0.0,0.0
0.5467692307692308,1.3648535353250007e-299,0.0
0.5526153846153846,8.034693963986565e-267,0.0
0.5584615384615385,6.242340386499141e-254,0.0
0.5643076923076923,1.8292336334134489e-243,0.0
0.5701538461538462,5.5123603407128315e-233,1.209e-320
0.5760000000000001,6.249314968980393e-233,1.2898933539e-313
0.5818461538461539,2.0804214270758057e-248,5.3735e-320
0.5876923076923077,1.176435157441757e-263,0.0
0.5935384615384616,7.064584784069046e-241,1.408918104916168e-290
0.5993846153846154,1.7449497179576206e-189,5.971608359573712e-228
0.6052307692307692,1.780552216306498e-138,1.6755717845594668e-166
0.6110769230769231,9.918225971861848e-99,1.2051855630208562e-117
0.6169230769230769,7.01750912129434e-67,2.0868808738054958e-78
0.6227692307692307,7.983181100439431e-37,6.723840065098727e-43
0.6286153846153847,3.617917517353538e-15,1.2262790431321851e-17
0.6344615384615384,0.0008690630219177446,0.0002611805516297101
0.6403076923076924,0.997796077854767,0.9993851147397053
0.6461538461538462,0.0013348588931580078,0.0003537047049903874
0.652,2.301535507346068e-10,3.674611116482587e-12
0.6578461538461539,8.675011420429897e-20,6.769365647670759e-23
0.6636923076923077,7.298528733946213e-32,4.926883607904435e-36
0.6695384615384615,4.0099092104676304e-48,3.507185660132002e-53
0.6753846153846154,6.757225940472914e-72,5.416771657237678e-78
0.6812307692307693,1.3225780508957527e-108,2.9781938821832157e-116
0.687076923076923,3.1843823843072515e-166,7.904711487175167e-176
0.692923076923077,6.867960895621262e-253,1.065180604969947e-262
0.6987692307692307,0.0,0.0
0.7046153846153846,0.0,0.0
0.7104615384615385,0.0,0.0
0.7163076923076923,0.0,0.0
0.7221538461538461,0.0,0.0
0.7280000000000001,0.0,0.0
0.7338461538461538,0.0,0.0
0.7396923076923078,0.0,0.0
0.7455384615384616,0.0,0.0
0.7513846153846153,0.0,0.0
0.7572307692307693,0.0,0.0
0.763076923076923,0.0,0.0
0.7689230769230769,0.0,0.0
0.7747692307692308,0.0,0.0
0.7806153846153846,0.0,0.0
0.7864615384615384,0.0,0.0
0.7923076923076924,0.0,0.0
0.7981538461538461,0.0,0.0
0.804,0.0,0.0
0.8098461538461539,0.0,0.0
0.8156923076923077,0.0,0.0
0.8215384615384616,0.0,0.0
0.8273846153846155,0.0,0.0
0.8332307692307692,0.0,0.0
0.839076923076923,0.0,0.0
0.8449230769230769,0.0,0.0
0.8507692307692307,0.0,0.0
0.8566153846153847,0.0,0.0
0.8624615384615384,0.0,0.0
0.8683076923076923,0.0,0.0
0.8741538461538462,0.0,0.0
0.88,0.0,0.0
