true_lens_center,bright_bins,dark_bins,bright_entropy_bits,full_entropy_bits,bright_info_bits,full_info_bits,dark_fringe_gain_bits,bright_map,full_map,bright_mean,full_mean,bright_map_abs_error,full_map_abs_error,bright_mean_abs_error,full_mean_abs_error
0.18,72,19,0.001358326321256261,0.00044915745472151467,7.032064675216194,7.032973844082728,0.0009091688665347462,0.17846153846153845,0.17846153846153845,0.17846207285029428,0.17846169647519877,0.001538461538461544,0.001538461538461544,0.0015379271497057145,0.0015383035248012211
0.212,70,21,0.10901365281036511,0.027805682973197885,6.924409348727085,7.005617318564252,0.08120796983716723,0.21353846153846154,0.21353846153846154,0.21345407353161316,0.21352207432680537,0.001538461538461544,0.001538461538461544,0.0014540735316131703,0.0015220743268053727
0.244,73,18,0.03857291165297794,0.014133699746472876,6.994850089884472,7.019289301790978,0.02443921190650506,0.24276923076923076,0.24276923076923076,0.24279313618001921,0.2427767014359334,0.0012307692307692297,0.0012307692307692297,0.0012068638199807802,0.0012232985640665828
0.27599999999999997,69,22,0.38710859152618116,0.051243520423791725,6.646314410011269,6.982179481113659,0.33586507110238945,0.27784615384615385,0.27784615384615385,0.2774049263260564,0.2778123975736943,0.0018461538461538862,0.0018461538461538862,0.0014049263260564326,0.0018123975736943354
0.30799999999999994,72,19,0.018089380843970115,0.0020913655109288925,7.01533362069348,7.031331636026521,0.015998015333041224,0.3070769230769231,0.3070769230769231,0.307086833697137,0.307077784817677,0.0009230769230768598,0.0009230769230768598,0.0009131663028629222,0.0009222151823229385
0.33999999999999997,71,20,0.16577912448400092,0.09425585475243219,6.86764387705345,6.939167146785018,0.07152326973156874,0.34215384615384614,0.34215384615384614,0.34201087011819364,0.3420832528975724,0.002153846153846173,0.002153846153846173,0.002010870118193675,0.0020832528975724407
0.372,70,21,0.00011461066207817283,1.8080548837963668e-06,7.033308390875372,7.033421193482567,0.00011280260719437647,0.37138461538461537,0.37138461538461537,0.37138464808204114,0.37138461578450355,0.0006153846153846287,0.0006153846153846287,0.0006153519179588618,0.0006153842154964506
0.40399999999999997,72,19,0.6820488417133417,0.49874333352738676,6.3513741598241085,6.534679668010064,0.18330550818595492,0.4064615384615385,0.4064615384615385,0.40540396055909755,0.40582073214662645,0.002461538461538515,0.002461538461538515,0.0014039605590975834,0.0018207321466264803
0.43599999999999994,72,19,0.003697261232345484,0.00019131724941628644,7.029725740305104,7.033231684288034,0.0035059439829291973,0.43569230769230766,0.43569230769230766,0.43569372222000985,0.43569235309081566,0.0003076923076922866,0.0003076923076922866,0.000306277779990094,0.00030764690918427817
0.4679999999999999,73,18,0.8591122147300058,0.7590031112961477,6.174310786807444,6.274419890241303,0.10010910343385804,0.4707692307692308,0.4707692307692308,0.46911648609807083,0.46948679945941824,0.002769230769230857,0.002769230769230857,0.0011164860980709124,0.0014867994594183198
