detector_x,expected_count,observed_count,is_dark
0.005494505494505495,49.83126012670345,50,0
0.016483516483516484,32.19108571328128,32,0
0.027472527472527472,21.5609420170792,22,0
0.038461538461538464,13.70840875322371,14,0
0.04945054945054945,4.555868387021482,5,1
0.06043956043956044,1.7045864128657466,2,1
0.07142857142857142,11.120226579500404,11,0
0.08241758241758242,35.194250910386,35,0
0.09340659340659341,65.29288470715356,65,0
0.1043956043956044,73.63571035252605,74,0
0.11538461538461539,47.1490825920224,47,0
0.12637362637362637,13.404258503671146,13,0
0.13736263736263737,1.0915095992861488,1,1
0.14835164835164835,6.325415187480209,6,1
0.15934065934065933,14.580805957154958,15,0
0.17032967032967034,19.63022547143027,20,0
0.1813186813186813,21.9876057130211,22,0
0.19230769230769232,30.436427648193657,30,0
0.2032967032967033,46.582217027281125,47,0
0.21428571428571427,51.78319754760546,52,0
0.22527472527472528,37.21473051269113,37,0
0.23626373626373626,19.354863133385262,19,0
0.24725274725274726,7.126548108717916,7,1
0.25824175824175827,0.3512244412735983,0,1
0.2692307692307692,16.13875009521445,16,0
0.2802197802197802,57.5767494824746,58,0
0.29120879120879123,83.27976267127181,83,0
0.3021978021978022,64.61545593625026,65,0
0.3131868131868132,29.49684466062914,29,0
0.3241758241758242,10.657355911487002,11,0
0.33516483516483514,6.155138821161898,6,1
0.34615384615384615,8.982467816585851,9,1
0.35714285714285715,18.797425795871714,19,0
0.36813186813186816,24.851700014100103,25,0
0.3791208791208791,21.013114902653466,21,0
0.3901098901098901,18.008243221776485,18,0
0.4010989010989011,18.533605788620747,19,0
0.41208791208791207,19.200186336375094,19,0
0.4230769230769231,35.713307416829274,36,0
0.4340659340659341,70.71229829808858,71,0
0.44505494505494503,81.41323605983403,81,0
0.45604395604395603,44.57870619894307,45,0
0.46703296703296704,6.033512361548495,6,1
0.47802197802197804,1.7322368050590597,2,1
0.489010989010989,4.479446005295325,4,1
0.5,3.7115126417920266,4,1
0.510989010989011,34.457689788593605,34,0
0.521978021978022,83.38837475004145,83,0
0.532967032967033,86.0999898922546,86,0
0.5439560439560439,42.91836742564944,43,0
0.554945054945055,18.314408169653415,18,0
0.5659340659340659,28.472890394381878,28,0
0.5769230769230769,36.13403199614311,36,0
0.5879120879120879,28.106618946039298,28,0
0.5989010989010989,16.406991780556194,16,0
0.6098901098901099,5.698840123363343,6,1
0.6208791208791209,3.048305391078588,3,1
0.6318681318681318,13.537512300810226,14,0
0.6428571428571429,21.71050973304254,22,0
0.6538461538461539,15.29466774458399,15,0
0.6648351648351648,5.280315674468509,5,1
0.6758241758241759,3.661761362957062,4,1
0.6868131868131868,9.66158891774542,10,0
0.6978021978021978,15.241976890563597,15,0
0.7087912087912088,12.762852724152,13,0
0.7197802197802198,13.16824069570333,13,0
0.7307692307692307,31.953715695451063,32,0
0.7417582417582418,45.507778688736764,46,0
0.7527472527472527,29.819646424528337,30,0
0.7637362637362637,27.28639850398967,27,0
0.7747252747252747,68.71866341278033,69,0
0.7857142857142857,89.3472354032464,89,0
0.7967032967032966,50.05306196889534,50,0
0.8076923076923077,31.035802173683198,31,0
0.8186813186813187,77.48889149178045,77,0
0.8296703296703297,104.078275396949,104,0
0.8406593406593407,59.8709335075783,60,0
0.8516483516483516,17.053084171905542,17,0
0.8626373626373627,23.76760874155466,24,0
0.8736263736263736,34.5671340096421,35,0
0.8846153846153846,19.863154231750556,20,0
0.8956043956043956,5.694798017380757,6,1
0.9065934065934066,5.100023494325922,5,1
0.9175824175824175,7.71012516512801,8,1
0.9285714285714286,14.407581206673811,14,0
0.9395604395604396,25.88799100684291,26,0
0.9505494505494505,29.724991752349883,30,0
0.9615384615384616,23.893659435184986,24,0
0.9725274725274725,22.017396794272113,22,0
0.9835164835164835,29.022623435566203,29,0
0.9945054945054945,35.4653698070211,35,0
