case,tau,lambda,actual_delta_norm,delta_bound,defect_norm,paper_bound,defect_to_bound_ratio
noncentered,0.1,0.7,0.0216,0.0288,0.0030706559999999885,0.004114944,0.7462206047032447
centered,0.1,0.0,0.0216,0.0288,4.665600000000001e-05,8.2944e-05,0.5625000000000001
