dimension,beta_exact,beta_monte_carlo,absolute_error
2.0,0.5,0.5005748565969428,0.0005748565969427855
3.0,0.6666666666666667,0.6653914828323961,0.00127518383427061
4.0,0.75,0.7496906261877658,0.0003093738122341705
5.0,0.8,0.8004541517132628,0.0004541517132627959
6.0,0.8333333333333334,0.8338515233546063,0.0005181900212729573
7.0,0.8571428571428572,0.8558618637688686,0.0012809933739885704
8.0,0.875,0.8743397296566076,0.000660270343392444
