case,time,rate,coherence
aligned,1.675,0.0,1.0
misaligned,1.675,2.0,0.035084354100845025
aligned,1.7000000000000002,0.0,1.0
misaligned,1.7000000000000002,2.0,0.033373269960326066
aligned,1.725,0.0,1.0
misaligned,1.725,2.0,0.03174563637806794
aligned,1.75,0.0,1.0
misaligned,1.75,2.0,0.0301973834223185
aligned,1.7750000000000001,0.0,1.0
misaligned,1.7750000000000001,2.0,0.028724639654239423
aligned,1.8,0.0,1.0
misaligned,1.8,2.0,0.02732372244729256
aligned,1.8250000000000002,0.0,1.0
misaligned,1.8250000000000002,2.0,0.025991128778755333
aligned,1.85,0.0,1.0
misaligned,1.85,2.0,0.024723526470339388
aligned,1.875,0.0,1.0
misaligned,1.875,2.0,0.023517745856009107
aligned,1.9000000000000001,0.0,1.0
misaligned,1.9000000000000001,2.0,0.02237077185616559
aligned,1.925,0.0,1.0
misaligned,1.925,2.0,0.02127973643837717
aligned,1.9500000000000002,0.0,1.0
misaligned,1.9500000000000002,2.0,0.02024191144580438
aligned,1.975,0.0,1.0
misaligned,1.975,2.0,0.01925470177538692
aligned,2.0,0.0,1.0
misaligned,2.0,2.0,0.01831563888873418
aligned,2.025,0.0,1.0
misaligned,2.025,2.0,0.017422374639493515
aligned,2.0500000000000003,0.0,1.0
misaligned,2.0500000000000003,2.0,0.016572675401761237
aligned,2.075,0.0,1.0
misaligned,2.075,2.0,0.015764416484854486
aligned,2.1,0.0,1.0
misaligned,2.1,2.0,0.014995576820477703
aligned,2.125,0.0,1.0
misaligned,2.125,2.0,0.014264233908999256
aligned,2.15,0.0,1.0
misaligned,2.15,2.0,0.013568559012200934
aligned,2.1750000000000003,0.0,1.0
misaligned,2.1750000000000003,2.0,0.012906812580479862
aligned,2.2,0.0,1.0
misaligned,2.2,2.0,0.012277339903068436
aligned,2.225,0.0,1.0
misaligned,2.225,2.0,0.011678566970395442
aligned,2.25,0.0,1.0
misaligned,2.25,2.0,0.011108996538242306
aligned,2.275,0.0,1.0
misaligned,2.275,2.0,0.010567204383852655
aligned,2.3000000000000003,0.0,1.0
misaligned,2.3000000000000003,2.0,0.010051835744633576
aligned,2.325,0.0,1.0
misaligned,2.325,2.0,0.009561601930543505
aligned,2.35,0.0,1.0
misaligned,2.35,2.0,0.009095277101695816
aligned,2.375,0.0,1.0
misaligned,2.375,2.0,0.008651695203120634
aligned,2.4000000000000004,0.0,1.0
misaligned,2.4000000000000004,2.0,0.008229747049020023
aligned,2.4250000000000003,0.0,1.0
misaligned,2.4250000000000003,2.0,0.007828377549225767
aligned,2.45,0.0,1.0
misaligned,2.45,2.0,0.007446583070924338
aligned,2.475,0.0,1.0
misaligned,2.475,2.0,0.0070834089290521185
aligned,2.5,0.0,1.0
misaligned,2.5,2.0,0.006737946999085467
aligned,2.5250000000000004,0.0,1.0
misaligned,2.5250000000000004,2.0,0.006409333446256377
aligned,2.5500000000000003,0.0,1.0
misaligned,2.5500000000000003,2.0,0.006096746565515633
aligned,2.575,0.0,1.0
misaligned,2.575,2.0,0.005799404726842141
aligned,2.6,0.0,1.0
misaligned,2.6,2.0,0.0055165644207607716
aligned,2.625,0.0,1.0
misaligned,2.625,2.0,0.005247518399181385
aligned,2.6500000000000004,0.0,1.0
misaligned,2.6500000000000004,2.0,0.004991593906910213
aligned,2.6750000000000003,0.0,1.0
misaligned,2.6750000000000003,2.0,0.004748150999411473
aligned,2.7,0.0,1.0
