leakage,recovery,q_star,eta_star,floor_bound,coherence_floor,passes_99p1_target
0.0,0.93,0.06999999999999995,0.0,0.0,1.0,1
0.0,0.9400000000000001,0.05999999999999994,0.0,0.0,1.0,1
0.0,0.9500000000000001,0.04999999999999993,0.0,0.0,1.0,1
0.0,0.9600000000000001,0.039999999999999925,0.0,0.0,1.0,1
0.0,0.97,0.03000000000000003,0.0,0.0,1.0,1
0.0,0.98,0.020000000000000014,0.0,0.0,1.0,1
0.0,0.99,0.010000000000000009,0.0,0.0,1.0,1
0.0,1.0,0.0,0.0,0.0,1.0,1
0.00025,0.01,0.99,0.00024999999999999995,0.024999999999999974,0.975,0
0.00025,0.02,0.9800000000000001,0.00024999999999999995,0.012500000000000056,0.9874999999999999,0
0.00025,0.03,0.97,0.00024999999999999995,0.008333333333333325,0.9916666666666667,1
0.00025,0.04,0.96,0.00024999999999999995,0.006249999999999993,0.99375,1
0.00025,0.05,0.9499999999999998,0.00024999999999999995,0.004999999999999984,0.995,1
0.00025,0.060000000000000005,0.94,0.00024999999999999995,0.004166666666666662,0.9958333333333333,1
0.00025,0.06999999999999999,0.9300000000000002,0.00024999999999999995,0.0035714285714285787,0.9964285714285714,1
0.00025,0.08,0.92,0.00024999999999999995,0.003125000000000001,0.996875,1
0.00025,0.09,0.91,0.00024999999999999995,0.0027777777777777783,0.9972222222222222,1
0.00025,0.09999999999999999,0.8999999999999999,0.00024999999999999995,0.0024999999999999974,0.9975,1
0.00025,0.11,0.89,0.00024999999999999995,0.0022727272727272726,0.9977272727272727,1
0.00025,0.12,0.8800000000000001,0.00024999999999999995,0.002083333333333335,0.9979166666666667,1
0.00025,0.13,0.8699999999999999,0.00024999999999999995,0.001923076923076921,0.9980769230769231,1
0.00025,0.14,0.86,0.00024999999999999995,0.0017857142857142852,0.9982142857142857,1
0.00025,0.15000000000000002,0.8500000000000001,0.00024999999999999995,0.0016666666666666674,0.9983333333333333,1
0.00025,0.16,0.84,0.00024999999999999995,0.0015624999999999994,0.9984375,1
0.00025,0.17,0.8300000000000001,0.00024999999999999995,0.001470588235294118,0.9985294117647059,1
0.00025,0.18000000000000002,0.82,0.00024999999999999995,0.0013888888888888883,0.9986111111111111,1
0.00025,0.19,0.81,0.00024999999999999995,0.0013157894736842107,0.9986842105263158,1
0.00025,0.2,0.7999999999999999,0.00024999999999999995,0.0012499999999999994,0.99875,1
0.00025,0.21000000000000002,0.79,0.00024999999999999995,0.0011904761904761904,0.9988095238095238,1
0.00025,0.22,0.78,0.00024999999999999995,0.0011363636363636363,0.9988636363636364,1
0.00025,0.23,0.77,0.00024999999999999995,0.0010869565217391302,0.9989130434782608,1
0.00025,0.24000000000000002,0.7599999999999999,0.00024999999999999995,0.001041666666666666,0.9989583333333333,1
0.00025,0.25,0.7499999999999999,0.00024999999999999995,0.0009999999999999994,0.999,1
0.00025,0.26,0.74,0.00024999999999999995,0.0009615384615384613,0.9990384615384615,1
0.00025,0.27,0.73,0.00024999999999999995,0.0009259259259259256,0.9990740740740741,1
0.00025,0.28,0.72,0.00024999999999999995,0.0008928571428571426,0.9991071428571429,1
0.00025,0.29000000000000004,0.7099999999999999,0.00024999999999999995,0.0008620689655172408,0.9991379310344828,1
0.00025,0.3,0.7000000000000001,0.00024999999999999995,0.0008333333333333334,0.9991666666666666,1
0.00025,0.31,0.69,0.00024999999999999995,0.0008064516129032255,0.9991935483870967,1
0.00025,0.32,0.6799999999999998,0.00024999999999999995,0.0007812499999999994,0.99921875,1
0.00025,0.33,0.6699999999999999,0.00024999999999999995,0.0007575757575757572,0.9992424242424243,1
0.00025,0.34,0.66,0.00024999999999999995,0.0007352941176470587,0.9992647058823529,1
0.00025,0.35000000000000003,0.6499999999999999,0.00024999999999999995,0.000714285714285714,0.9992857142857143,1
0.00025,0.36000000000000004,0.6399999999999999,0.00024999999999999995,0.0006944444444444441,0.9993055555555556,1
0.00025,0.37,0.63,0.00024999999999999995,0.0006756756756756756,0.9993243243243243,1
0.00025,0.38,0.6200000000000001,0.00024999999999999995,0.0006578947368421054,0.9993421052631579,1
0.00025,0.39,0.61,0.00024999999999999995,0.0006410256410256409,0.9993589743589744,1
0.00025,0.4,0.6000000000000001,0.00024999999999999995,0.000625,0.999375,1
0.00025,0.41000000000000003,0.5900000000000001,0.00024999999999999995,0.0006097560975609756,0.999390243902439,1
0.00025,0.42000000000000004,0.58,0.00024999999999999995,0.0005952380952380951,0.9994047619047619,1
0.00025,0.43,0.5700000000000001,0.00024999999999999995,0.0005813953488372093,0.9994186046511628,1
0.00025,0.44,0.56,0.00024999999999999995,0.0005681818181818182,0.9994318181818181,1
0.00025,0.45,0.55,0.00024999999999999995,0.0005555555555555556,0.9994444444444445,1
0.00025,0.46,0.54,0.00024999999999999995,0.0005434782608695651,0.9994565217391305,1
0.00025,0.47000000000000003,0.53,0.00024999999999999995,0.0005319148936170212,0.999468085106383,1
0.00025,0.48000000000000004,0.5200000000000001,0.00024999999999999995,0.0005208333333333333,0.9994791666666667,1
0.00025,0.49,0.51,0.00024999999999999995,0.000510204081632653,0.9994897959183674,1
0.00025,0.5,0.5000000000000001,0.00024999999999999995,0.0005,0.9995,1
0.00025,0.51,0.48999999999999994,0.00024999999999999995,0.0004901960784313724,0.9995098039215686,1
0.00025,0.52,0.48,0.00024999999999999995,0.00048076923076923063,0.9995192307692308,1
0.00025,0.53,0.47000000000000003,0.00024999999999999995,0.00047169811320754707,0.9995283018867924,1
0.00025,0.54,0.46,0.00024999999999999995,0.0004629629629629628,0.999537037037037,1
0.00025,0.55,0.45,0.00024999999999999995,0.00045454545454545444,0.9995454545454545,1
0.00025,0.56,0.43999999999999995,0.00024999999999999995,0.0004464285714285713,0.9995535714285714,1
0.00025,0.5700000000000001,0.43,0.00024999999999999995,0.00043859649122807,0.999561403508772,1
0.00025,0.5800000000000001,0.41999999999999993,0.00024999999999999995,0.0004310344827586206,0.9995689655172414,1
0.00025,0.59,0.41000000000000003,0.00024999999999999995,0.00042372881355932197,0.9995762711864407,1
0.00025,0.6,0.4,0.00024999999999999995,0.0004166666666666666,0.9995833333333334,1
0.00025,0.61,0.39,0.00024999999999999995,0.00040983606557377044,0.9995901639344262,1
0.00025,0.62,0.38,0.00024999999999999995,0.00040322580645161285,0.9995967741935484,1
0.00025,0.63,0.36999999999999994,0.00024999999999999995,0.00039682539682539666,0.9996031746031746,1
0.00025,0.64,0.36,0.00024999999999999995,0.0003906249999999999,0.999609375,1
0.00025,0.65,0.35,0.00024999999999999995,0.0003846153846153845,0.9996153846153846,1
0.00025,0.66,0.3399999999999999,0.00024999999999999995,0.0003787878787878786,0.9996212121212121,1
0.00025,0.67,0.32999999999999996,0.00024999999999999995,0.00037313432835820885,0.9996268656716418,1
0.00025,0.68,0.32,0.00024999999999999995,0.00036764705882352935,0.9996323529411765,1
0.00025,0.6900000000000001,0.3099999999999999,0.00024999999999999995,0.00036231884057971,0.9996376811594203,1
0.00025,0.7000000000000001,0.29999999999999993,0.00024999999999999995,0.00035714285714285703,0.9996428571428572,1
0.00025,0.7100000000000001,0.29,0.00024999999999999995,0.000352112676056338,0.9996478873239436,1
0.00025,0.72,0.28,0.00024999999999999995,0.0003472222222222222,0.9996527777777777,1
0.00025,0.73,0.2700000000000001,0.00024999999999999995,0.0003424657534246575,0.9996575342465753,1
0.00025,0.74,0.26,0.00024999999999999995,0.0003378378378378378,0.9996621621621622,1
0.00025,0.75,0.25,0.00024999999999999995,0.00033333333333333327,0.9996666666666667,1
0.00025,0.76,0.24,0.00024999999999999995,0.00032894736842105257,0.999671052631579,1
0.00025,0.77,0.22999999999999995,0.00024999999999999995,0.0003246753246753246,0.9996753246753247,1
0.00025,0.78,0.21999999999999997,0.00024999999999999995,0.00032051282051282046,0.9996794871794872,1
0.00025,0.79,0.20999999999999994,0.00024999999999999995,0.00031645569620253154,0.9996835443037975,1
0.00025,0.8,0.19999999999999993,0.00024999999999999995,0.0003124999999999999,0.9996875,1
0.00025,0.81,0.18999999999999992,0.00024999999999999995,0.0003086419753086419,0.9996913580246913,1
0.00025,0.8200000000000001,0.17999999999999994,0.00024999999999999995,0.0003048780487804877,0.9996951219512196,1
0.00025,0.8300000000000001,0.16999999999999993,0.00024999999999999995,0.00030120481927710835,0.9996987951807229,1
0.00025,0.8400000000000001,0.15999999999999992,0.00024999999999999995,0.00029761904761904754,0.999702380952381,1
0.00025,0.85,0.15000000000000002,0.00024999999999999995,0.0002941176470588235,0.9997058823529412,1
0.00025,0.86,0.14,0.00024999999999999995,0.0002906976744186046,0.9997093023255814,1
0.00025,0.87,0.13000000000000003,0.00024999999999999995,0.0002873563218390804,0.9997126436781609,1
0.00025,0.88,0.12,0.00024999999999999995,0.000284090909090909,0.9997159090909091,1
0.00025,0.89,0.10999999999999999,0.00024999999999999995,0.0002808988764044943,0.9997191011235955,1
0.00025,0.9,0.09999999999999996,0.00024999999999999995,0.0002777777777777777,0.9997222222222222,1
0.00025,0.91,0.08999999999999996,0.00024999999999999995,0.00027472527472527467,0.9997252747252747,1
0.00025,0.92,0.07999999999999997,0.00024999999999999995,0.00027173913043478256,0.9997282608695652,1
0.00025,0.93,0.06999999999999995,0.00024999999999999995,0.0002688172043010752,0.999731182795699,1
0.00025,0.9400000000000001,0.05999999999999994,0.00024999999999999995,0.0002659574468085106,0.9997340425531915,1
0.00025,0.9500000000000001,0.04999999999999993,0.00024999999999999995,0.00026315789473684205,0.9997368421052631,1
0.00025,0.9600000000000001,0.039999999999999925,0.00024999999999999995,0.0002604166666666666,0.9997395833333333,1
0.00025,0.97,0.03000000000000003,0.00024999999999999995,0.00025773195876288655,0.9997422680412371,1
0.00025,0.98,0.020000000000000014,0.00024999999999999995,0.0002551020408163265,0.9997448979591836,1
0.00025,0.99,0.010000000000000009,0.00024999999999999995,0.00025252525252525247,0.9997474747474747,1
0.00025,1.0,0.0,0.00024999999999999995,0.00024999999999999995,0.99975,1
0.0005,0.01,0.99,0.0005,0.049999999999999954,0.9500000000000001,0
0.0005,0.02,0.9800000000000001,0.0005,0.025000000000000116,0.9749999999999999,0
0.0005,0.03,0.97,0.0005,0.016666666666666653,0.9833333333333334,0
0.0005,0.04,0.96,0.0005,0.012499999999999989,0.9875,0
0.0005,0.05,0.9499999999999998,0.0005,0.009999999999999969,0.99,0
0.0005,0.060000000000000005,0.94,0.0005,0.008333333333333326,0.9916666666666667,1
0.0005,0.06999999999999999,0.9300000000000002,0.0005,0.007142857142857159,0.9928571428571429,1
0.0005,0.08,0.92,0.0005,0.006250000000000003,0.99375,1
0.0005,0.09,0.91,0.0005,0.0055555555555555575,0.9944444444444445,1
0.0005,0.09999999999999999,0.8999999999999999,0.0005,0.004999999999999996,0.995,1
0.0005,0.11,0.89,0.0005,0.004545454545454546,0.9954545454545455,1
0.0005,0.12,0.8800000000000001,0.0005,0.004166666666666671,0.9958333333333333,1
0.0005,0.13,0.8699999999999999,0.0005,0.003846153846153843,0.9961538461538462,1
0.0005,0.14,0.86,0.0005,0.0035714285714285713,0.9964285714285714,1
0.0005,0.15000000000000002,0.8500000000000001,0.0005,0.0033333333333333353,0.9966666666666667,1
0.0005,0.16,0.84,0.0005,0.0031249999999999993,0.996875,1
0.0005,0.17,0.8300000000000001,0.0005,0.0029411764705882366,0.9970588235294118,1
0.0005,0.18000000000000002,0.82,0.0005,0.002777777777777777,0.9972222222222222,1
0.0005,0.19,0.81,0.0005,0.002631578947368422,0.9973684210526316,1
0.0005,0.2,0.7999999999999999,0.0005,0.002499999999999999,0.9975,1
0.0005,0.21000000000000002,0.79,0.0005,0.0023809523809523816,0.9976190476190476,1
0.0005,0.22,0.78,0.0005,0.002272727272727273,0.9977272727272727,1
0.0005,0.23,0.77,0.0005,0.002173913043478261,0.9978260869565218,1
0.0005,0.24000000000000002,0.7599999999999999,0.0005,0.0020833333333333324,0.9979166666666667,1
0.0005,0.25,0.7499999999999999,0.0005,0.001999999999999999,0.998,1
0.0005,0.26,0.74,0.0005,0.001923076923076923,0.9980769230769231,1
0.0005,0.27,0.73,0.0005,0.0018518518518518517,0.9981481481481481,1
0.0005,0.28,0.72,0.0005,0.0017857142857142857,0.9982142857142857,1
0.0005,0.29000000000000004,0.7099999999999999,0.0005,0.0017241379310344819,0.9982758620689656,1
0.0005,0.3,0.7000000000000001,0.0005,0.001666666666666667,0.9983333333333333,1
0.0005,0.31,0.69,0.0005,0.0016129032258064514,0.9983870967741936,1
0.0005,0.32,0.6799999999999998,0.0005,0.0015624999999999992,0.9984375,1
0.0005,0.33,0.6699999999999999,0.0005,0.001515151515151515,0.9984848484848485,1
0.0005,0.34,0.66,0.0005,0.0014705882352941178,0.9985294117647059,1
0.0005,0.35000000000000003,0.6499999999999999,0.0005,0.0014285714285714281,0.9985714285714286,1
0.0005,0.36000000000000004,0.6399999999999999,0.0005,0.0013888888888888885,0.9986111111111111,1
0.0005,0.37,0.63,0.0005,0.0013513513513513514,0.9986486486486487,1
0.0005,0.38,0.6200000000000001,0.0005,0.001315789473684211,0.9986842105263158,1
0.0005,0.39,0.61,0.0005,0.001282051282051282,0.9987179487179487,1
0.0005,0.4,0.6000000000000001,0.0005,0.0012500000000000002,0.99875,1
0.0005,0.41000000000000003,0.5900000000000001,0.0005,0.0012195121951219514,0.998780487804878,1
0.0005,0.42000000000000004,0.58,0.0005,0.0011904761904761904,0.9988095238095238,1
0.0005,0.43,0.5700000000000001,0.0005,0.0011627906976744188,0.9988372093023256,1
0.0005,0.44,0.56,0.0005,0.0011363636363636365,0.9988636363636364,1
0.0005,0.45,0.55,0.0005,0.0011111111111111113,0.9988888888888889,1
0.0005,0.46,0.54,0.0005,0.0010869565217391304,0.9989130434782608,1
0.0005,0.47000000000000003,0.53,0.0005,0.0010638297872340426,0.9989361702127659,1
0.0005,0.48000000000000004,0.5200000000000001,0.0005,0.0010416666666666669,0.9989583333333333,1
0.0005,0.49,0.51,0.0005,0.0010204081632653062,0.9989795918367347,1
0.0005,0.5,0.5000000000000001,0.0005,0.0010000000000000002,0.999,1
0.0005,0.51,0.48999999999999994,0.0005,0.000980392156862745,0.9990196078431373,1
0.0005,0.52,0.48,0.0005,0.0009615384615384615,0.9990384615384615,1
0.0005,0.53,0.47000000000000003,0.0005,0.0009433962264150943,0.9990566037735849,1
0.0005,0.54,0.46,0.0005,0.0009259259259259259,0.9990740740740741,1
0.0005,0.55,0.45,0.0005,0.0009090909090909091,0.9990909090909091,1
0.0005,0.56,0.43999999999999995,0.0005,0.0008928571428571428,0.9991071428571429,1
0.0005,0.5700000000000001,0.43,0.0005,0.0008771929824561403,0.9991228070175439,1
