p_noise,correction_interval,correction_rate,record,monitoring_cost,bit_fidelity,bit_advantage,plus_fidelity,code_population,logical_coherence,productive_score,regime
0.0,1,1.0,1.0,0.8260650438651997,1.0,1.0,0.5869674780673999,1.0,0.17393495613480034,0.10209416255020758,crystallized
0.0,2,0.5,1.0,0.582944900361115,1.0,1.0,0.7085275498194421,1.0,0.41705509963888476,0.2954950278868423,crystallized
0.0,3,0.3333333333333333,0.9999999999997904,0.44179255567076836,1.0,1.0,0.7791037221646154,1.0,0.5582074443292314,0.43490149761690156,productive
0.0,4,0.25,0.9999999989897916,0.3542019668356948,1.0,1.0,0.8228990165821521,1.0,0.645798033164305,0.5314265664015946,productive
0.0,5,0.2,0.9999998946877083,0.2882992109304511,1.0,1.0,0.8558503945347741,1.0,0.7117007890695487,0.6091094011158833,productive
0.0,6,0.16666666666666666,0.9999980095545283,0.25286718427763344,1.0,1.0,0.8735664078611829,1.0,0.7471328157223662,0.6526701300257985,productive
0.0,7,0.14285714285714285,0.9999848702710878,0.21567117403507274,1.0,1.0,0.8921644129824632,1.0,0.784328825964927,0.6997502666022236,productive
0.0,8,0.125,0.9999332302396285,0.1963843996260991,1.0,1.0,0.90180780018695,1.0,0.8036156003739006,0.7247068167691023,productive
0.0,9,0.1111111111111111,0.9997924998649104,0.17662336027264247,1.0,1.0,0.9116883198636783,1.0,0.8233766397273572,0.7506628652880354,productive
0.0,10,0.1,0.9994924712139436,0.15637639372196976,1.0,1.0,0.9218118031390147,1.0,0.84362360627803,0.7776621976737891,productive
0.0,11,0.09090909090909091,0.9989535302746325,0.1356315509446412,1.0,1.0,0.932184224527679,1.0,0.8643684490553587,0.8057506323888621,productive
0.0,12,0.08333333333333333,0.9980979426127404,0.1356315509446412,1.0,1.0,0.932184224527679,1.0,0.8643684490553587,0.8057506323888621,productive
0.0,13,0.07692307692307693,0.9968585630378793,0.11437658908262405,1.0,1.0,0.9428117054586875,1.0,0.8856234109173757,0.834976118441151,productive
0.0,14,0.07142857142857142,0.9951838190310288,0.11437658908262405,1.0,1.0,0.9428117054586875,1.0,0.8856234109173757,0.834976118441151,productive
0.0,15,0.06666666666666667,0.9930393801316743,0.09259896422400005,1.0,1.0,0.9537005178879996,1.0,0.9074010357759997,0.8653888377516782,productive
0.0,16,0.0625,0.9904074979477991,0.09259896422400005,1.0,1.0,0.9537005178879996,1.0,0.9074010357759997,0.8653888377516782,productive
0.0,17,0.058823529411764705,0.9872849986099358,0.09259896422400005,1.0,1.0,0.9537005178879996,1.0,0.9074010357759997,0.8653888377516782,productive
0.0,18,0.05555555555555555,0.9836806832556286,0.09259896422400005,1.0,1.0,0.9537005178879996,1.0,0.9074010357759997,0.8653888377516782,productive
0.0,19,0.05263157894736842,0.9796126349734647,0.07028582400000005,1.0,1.0,0.9648570879999996,1.0,0.9297141759999997,0.8970413125276788,productive
0.0,20,0.05,0.9751057193808106,0.07028582400000005,1.0,1.0,0.9648570879999996,1.0,0.9297141759999997,0.8970413125276788,productive
0.0,21,0.047619047619047616,0.9701894171762189,0.07028582400000005,1.0,1.0,0.9648570879999996,1.0,0.9297141759999997,0.8970413125276788,productive
0.0,22,0.045454545454545456,0.9648960326755942,0.07028582400000005,1.0,1.0,0.9648570879999996,1.0,0.9297141759999997,0.8970413125276788,productive
0.0,23,0.043478260869565216,0.9592592681774077,0.07028582400000005,1.0,1.0,0.9648570879999996,1.0,0.9297141759999997,0.8970413125276788,productive
0.0,24,0.041666666666666664,0.953313126638417,0.07028582400000005,1.0,1.0,0.9648570879999996,1.0,0.9297141759999997,0.8970413125276788,productive
0.0,25,0.04,0.9470910943469678,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,26,0.038461538461538464,0.9406255539904451,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,27,0.037037037037037035,0.9339473821720392,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,28,0.03571428571428571,0.9270856912663876,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,29,0.034482758620689655,0.9200676819218311,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,30,0.03333333333333333,0.9129185786715375,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,31,0.03225806451612903,0.9056616266084568,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,32,0.03125,0.8983181317703235,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,33,0.030303030303030304,0.8909075317708781,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,34,0.029411764705882353,0.8834474863712909,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,35,0.02857142857142857,0.8759539802081466,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,36,0.027777777777777776,0.8684414318834667,0.04742400000000002,1.0,1.0,0.9762879999999996,1.0,0.9525759999999998,0.9299885178879994,productive
0.0,37,0.02702702702702703,0.8609228051738309,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,38,0.02631578947368421,0.8534097193143909,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,39,0.02564102564102564,0.8459125562311827,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,40,0.025,0.8384405632911975,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,41,0.024390243902439025,0.8310019506624012,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,42,0.023809523809523808,0.8236039827641435,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,43,0.023255813953488372,0.8162530635729409,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,44,0.022727272727272728,0.8089548157536728,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,45,0.022222222222222223,0.801714153730813,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,46,0.021739130434782608,0.7945353509131267,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,47,0.02127659574468085,0.7874221013498609,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,48,0.020833333333333332,0.78037757613542,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,49,0.02040816326530612,0.7734044748999146,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,50,0.02,0.7665050727296459,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,51,0.0196078431372549,0.759681262858714,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,52,0.019230769230769232,0.7529345954633263,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,53,0.018867924528301886,0.746266312876328,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,54,0.018518518518518517,0.7396773815225959,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,55,0.01818181818181818,0.7331685208574867,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,56,0.017857142857142856,0.7267402295713808,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,57,0.017543859649122806,0.7203928093041521,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,58,0.017241379310344827,0.7141263860945648,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,59,0.01694915254237288,0.7079409297714696,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,60,0.016666666666666666,0.7018362714764412,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,61,0.01639344262295082,0.6958121194912221,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,62,0.016129032258064516,0.6898680735282592,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,63,0.015873015873015872,0.6840036376283989,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,64,0.015625,0.6782182317969141,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,65,0.015384615384615385,0.6725112024969713,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,66,0.015151515151515152,0.6668818321087359,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,67,0.014925373134328358,0.6613293474521653,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,68,0.014705882352941176,0.655852927462479,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,69,0.014492753623188406,0.6504517100988787,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,70,0.014285714285714285,0.6451247985594666,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,71,0.014084507042253521,0.6398712668685116,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.0,72,0.013888888888888888,0.6346901648958398,0.02400000000000002,1.0,1.0,0.9879999999999995,1.0,0.9759999999999998,0.9642879999999994,productive
0.00125,1,1.0,1.0,0.8260650438651997,0.9996628933625946,0.9993257867251892,0.5869674780674081,1.0000000000000104,0.17393495613480162,0.10202532931053877,crystallized
0.00125,2,0.5,1.0,0.582944900361115,0.9993282463378972,0.9986564926757944,0.7085275498194519,1.0000000000000089,0.4170550996388883,0.2950980281526192,crystallized
0.00125,3,0.3333333333333333,0.9999999999997904,0.44179255567076836,0.9989960315151496,0.9979920630302992,0.7791037221646281,1.0000000000000104,0.5582074443292373,0.4340282428216745,productive
0.00125,4,0.25,0.9999999989897916,0.3542019668356948,0.9986662219059577,0.9973324438119153,0.8228990165821637,1.0000000000000104,0.6457980331643135,0.5300089561758974,productive
0.00125,5,0.2,0.9999998946877083,0.2882992109304511,0.9909249918508993,0.9818499837017987,0.8494555472752066,0.9925280781543082,0.7063830163961035,0.5847481339743241,productive
0.00125,6,0.16666666666666666,0.9999980095545283,0.25286718427763344,0.9980137124367608,0.9960274248735217,0.8735664078611934,1.000000000000009,0.7471328157223741,0.6500773489014833,productive
0.00125,7,0.14285714285714285,0.9999848702710878,0.21567117403507274,0.9902997938519663,0.9805995877039326,0.8854982302151503,0.9925280781543041,0.7784683822759922,0.670908329367527,productive
0.00125,8,0.125,0.9999332302396285,0.1963843996260991,0.9973705101589057,0.9947410203178113,0.9018078001869589,1.0000000000000104,0.8036156003739087,0.7208955983441919,productive
0.00125,9,0.1111111111111111,0.9997924998649104,0.17662336027264247,0.9970523360023369,0.9941046720046738,0.9116883198636883,1.0000000000000104,0.8233766397273655,0.7462374614832745,productive
