p_noise,backaction,gamma,T_star,T_pred_continuum,J_star
0.001,0.012,0.012072581234269249,76,63.43653320253571,0.0003489104639171026
0.0012328467394420659,0.012,0.012072581234269249,62,51.455327878990374,0.00043025444564836796
0.0015199110829529332,0.012,0.012072581234269249,50,41.73700285104121,0.0005305888307861946
0.001873817422860383,0.012,0.012072581234269249,41,33.85416979723661,0.0006543868356022013
0.0023101297000831605,0.012,0.012072581234269249,33,27.460160873327638,0.0008070872713474524
0.002848035868435802,0.012,0.012072581234269249,27,22.27378310280071,0.0009955975183894375
0.003511191734215131,0.012,0.012072581234269249,22,18.066952193004038,0.0012283036255464211
0.004328761281083057,0.012,0.012072581234269249,18,14.654661942148927,0.0015157840288501446
0.005336699231206312,0.012,0.012072581234269249,14,11.88684811607726,0.0018703251162469105
0.006579332246575682,0.012,0.012072581234269249,12,9.641788987864576,0.0023099915820917597
0.008111308307896872,0.012,0.012072581234269249,9,7.820752312025451,0.002851837731945894
0.01,0.012,0.012072581234269249,8,6.343653320253571,0.003525350893396236
