context_correlation,monitor_strength,leakage_fraction,public_error_mi_bits,excess_agency_leakage_bits,raw_agency_mi_bits,record_burden,restraint_score
0.0,2.5,0.0,0.9749406847440909,7.201509220092035e-17,0.0,0.2683843710533582,0.7132818422547176
0.05,2.5,0.0,0.9749406847440909,0.0,0.001766796658302943,0.2683843710533582,0.7132818422547177
0.1,2.5,0.0,0.9749406847440906,8.000228411093308e-17,0.007076058270949716,0.2683843710533582,0.7132818422547174
0.15000000000000002,2.5,0.0,0.974940684744091,0.0,0.015954668237302495,0.2683843710533582,0.7132818422547178
0.2,2.5,0.0,0.9749406847440909,8.000228411093308e-17,0.028448347770340516,0.2683843710533582,0.7132818422547176
0.25,2.5,0.0,0.9749406847440909,0.0,0.04462310430265571,0.2683843710533582,0.7132818422547177
0.30000000000000004,2.5,0.0,0.9749406847440909,4.381224726442167e-17,0.06456742097598599,0.2683843710533582,0.7132818422547177
0.35000000000000003,2.5,0.0,0.9749406847440909,4.496959409334463e-19,0.08839537880835192,0.2683843710533582,0.7132818422547177
0.4,2.5,0.0,0.9749406847440909,1.0796251669342313e-16,0.11625100917741275,0.2683843710533582,0.7132818422547176
0.45,2.5,0.0,0.9749406847440909,2.2258349445750338e-17,0.14831433757547413,0.2683843710533582,0.7132818422547177
0.5,2.5,0.0,0.974940684744091,0.0,0.18480984344260992,0.2683843710533582,0.7132818422547178
0.55,2.5,0.0,0.974940684744091,0.0,0.22601850725318273,0.2683843710533582,0.7132818422547178
0.6000000000000001,2.5,0.0,0.9749406847440912,0.0,0.2722954092389386,0.2683843710533582,0.7132818422547179
0.65,2.5,0.0,0.9749406847440907,1.191845932354335e-17,0.324096335208342,0.2683843710533582,0.7132818422547175
0.7000000000000001,2.5,0.0,0.9749406847440909,0.0,0.3820198430276703,0.2683843710533582,0.7132818422547177
0.75,2.5,0.0,0.9749406847440909,9.529835337196668e-17,0.4468777976203747,0.2683843710533582,0.7132818422547176
0.8,2.5,0.0,0.9749406847440912,0.0,0.5198233477431224,0.2683843710533582,0.7132818422547179
0.8500000000000001,2.5,0.0,0.974940684744091,0.0,0.6026103782380999,0.2683843710533582,0.7132818422547178
0.9,2.5,0.0,0.9749406847440912,9.517790707841695e-17,0.6982165017584699,0.2683843710533582,0.7132818422547178
