monitor_strength,leakage_fraction,context_correlation,public_error_mi_bits,excess_agency_leakage_bits,raw_agency_mi_bits,record_burden,restraint_score,regime
0.0,0.0,0.35,1.0830181345801296e-17,0.0,1.0830181345801296e-17,0.0,1.0830181345801296e-17,abandonment_no_record
0.03333333333333333,0.0,0.35,0.0008010522980683927,0.0,9.808117052726908e-05,5.555401237422597e-05,0.0008010077963991134,abandonment_no_record
0.06666666666666667,0.0,0.35,0.003198885552986702,0.0,0.00039110580013725934,0.00022219753269303588,0.0031981747685094607,abandonment_no_record
0.1,0.0,0.35,0.007177645332743625,0.0,0.0008754761022879762,0.000499875020830709,0.007174057407133404,abandonment_no_record
0.13333333333333333,0.0,0.35,0.012711287234842793,0.0,0.0015453842427302583,0.0008884939441897721,0.012699993333111777,abandonment_no_record
0.16666666666666666,0.0,0.35,0.01976411776293045,0.0,0.002393070043371765,0.001387924829091669,0.019736686653162187,abandonment_no_record
0.2,0.0,0.35,0.028291499619177166,0.0,0.0034091381271550473,0.001998001332666921,0.028234973165234906,abandonment_no_record
0.23333333333333334,0.0,0.35,0.03824067996187749,0.0,0.004582903124063391,0.0027185203351902665,0.038136721895769624,abandonment_no_record
0.26666666666666666,0.0,0.35,0.049551699651354496,0.0,0.005902734908950268,0.0035492420527877266,0.0493758286751648,abandonment_no_record
0.3,0.0,0.35,0.06215834498701842,0.0,0.007356382392982522,0.004489890170429445,0.06187926084485105,transition
0.3333333333333333,0.0,0.35,0.07598910929726797,0.0,0.008931261922968494,0.005540151995103271,0.0755681180817886,transition
0.36666666666666664,0.0,0.35,0.09096813851979853,0.0,0.010614703230740211,0.006699678629052075,0.09035868122623278,transition
0.4,0.0,0.35,0.1070161415487939,0.0,0.012394151272983418,0.007968085162939342,0.10616342781912394,transition
0.43333333333333335,0.0,0.35,0.12405125200889104,0.0,0.014257326005223562,0.009344950888793058,0.12289199915117466,transition
0.4666666666666667,0.0,0.35,0.14198983297481202,0.0,0.016192344324725962,0.010829819532564233,0.14045210870823588,transition
0.5,0.0,0.35,0.16074721995245214,0.0,0.018187809439113453,0.012422199506118559,0.15875038591614887,transition
0.5333333333333333,0.0,0.35,0.1802384002594009,0.0,0.020232873118429032,0.014121564178467994,0.1776931521227134,transition
0.5666666666666667,0.0,0.35,0.2003786289294501,0.0,0.02231727594278231,0.015927352166031028,0.1971871279399443,transition
0.6,0.0,0.35,0.22108398257293285,0.0,0.024431369966577143,0.017838967641699233,0.2171400725617163,transition
0.6333333333333333,0.0,0.35,0.24227185342285332,0.0,0.02656612737027765,0.019855780662470845,0.23746135664059886,transition
0.6666666666666666,0.0,0.35,0.2638613862754065,0.0,0.028713137895867633,0.021977127515399486,0.2580624709428418,restraint_interval
0.7,0.0,0.35,0.28577386138954397,0.0,0.030864597433463405,0.024202311081592653,0.2788574734972063,restraint_interval
0.7333333333333333,0.0,0.35,0.30793302680347806,0.0,0.033013290237143056,0.026530601217979677,0.29976337846750956,restraint_interval
0.7666666666666666,0.0,0.35,0.3302653840149066,0.0,0.035152567851780274,0.028961235156556464,0.3207004905643805,restraint_interval
0.8,0.0,0.35,0.3527004314648206,0.0,0.037276328552051013,0.0314934179208024,0.3415926893758517,restraint_interval
0.8333333333333334,0.0,0.35,0.3751708705262796,0.0,0.039379001297518264,0.034126322758950334,0.36236766830894346,restraint_interval
0.8666666666666667,0.0,0.35,0.3976127784278935,0.0,0.04145553725905607,0.03685909159377909,0.3829571326089628,restraint_interval
0.9,0.0,0.35,0.4199657515044147,0.0,0.043501409564321136,0.039690835488586984,0.40329695995061215,restraint_interval
0.9333333333333333,0.0,0.35,0.4421730203442573,0.0,0.045512618315501546,0.042620635128990614,0.423327325380281,restraint_interval
0.9666666666666667,0.0,0.35,0.464181536081239,0.0,0.0474856940449586,0.04564754132018456,0.44299279023290394,restraint_interval
1.0,0.0,0.35,0.4859420248378066,0.0,0.049417689895278276,0.048770575499285984,0.46224235262717844,restraint_interval
1.0333333333333332,0.0,0.35,0.5074090059257274,0.0,0.05130615223930658,0.05198873026237516,0.4810294559839548,restraint_interval
1.0666666666666667,0.0,0.35,0.528540769565238,0.0,0.053149062024262846,0.05530096990583677,0.49931195237350295,restraint_interval
1.1,0.0,0.35,0.549299312031312,0.0,0.054944744835592293,0.05870623098159433,0.517052019741171,restraint_interval
1.1333333333333333,0.0,0.35,0.5696502302340062,0.0,0.056691755581637845,0.062203422865820035,0.5342160360771485,restraint_interval
1.1666666666666667,0.0,0.35,0.5895625831828614,0.0,0.05838875205714164,0.0657914283406964,0.5507744187390303,restraint_interval
1.2,0.0,0.35,0.6090087334667712,0.0,0.06003437832131472,0.06946910418879426,0.5667014423096824,restraint_interval
1.2333333333333334,0.0,0.35,0.6279641864032263,0.0,0.06162718184388008,0.07323528179962568,0.5819750522519134,restraint_interval
1.2666666666666666,0.0,0.35,0.6464074464974316,0.0,0.06316558642305098,0.07708876778791995,0.5965766929580089,restraint_interval
1.3,0.0,0.35,0.66431990928828,0.0,0.06464793570162661,0.08102834462316832,0.6104911667384373,restraint_interval
1.3333333333333333,0.0,0.35,0.6816858011837473,0.0,0.06607261061480829,0.08505277126996902,0.6237065346576804,restraint_interval
1.3666666666666667,0.0,0.35,0.6984921709631213,0.0,0.06743821024447008,0.08916078383870563,0.6362140614948503,restraint_interval
1.4,0.0,0.35,0.7147289255249435,0.0,0.06874377194248743,0.09335109624607907,0.6480081968084078,restraint_interval
1.4333333333333333,0.0,0.35,0.7303888910972337,0.0,0.06998899597950041,0.09762240088501217,0.6590865739685801,restraint_interval
1.4666666666666666,0.0,0.35,0.7454678717019497,0.0,0.07117443471863384,0.1019733693034387,0.6694500011170383,restraint_interval
1.5,0.0,0.35,0.7599646712408838,0.0,0.07230160783694782,0.10640265289148432,0.6791024141170491,restraint_interval
1.5333333333333332,0.0,0.35,0.7738810456332944,0.0,0.07337301360551353,0.11090888357654394,0.6880507628410573,restraint_interval
1.5666666666666667,0.0,0.35,0.7872215575587131,0.0,0.07439202053956886,0.1154906745257539,0.6963048088750428,restraint_interval
1.6,0.0,0.35,0.7999933180306327,0.0,0.07536264154380164,0.12014662085535621,0.7038768241623878,restraint_interval
1.6333333333333333,0.0,0.35,0.8122056147044191,0.0,0.0762892110079511,0.12487530034644823,0.7107811946251331,restraint_interval
1.6666666666666667,0.0,0.35,0.8238694441874044,0.0,0.07717600107449456,0.1296752741666095,0.7170339481349105,restraint_interval
1.7,0.0,0.35,0.8349969819815519,0.0,0.07802682395979493,0.1345450875968931,0.7226522398977027,restraint_interval
1.7333333333333334,0.0,0.35,0.8456010364438119,0.0,0.07884467121158811,0.13948327076367317,0.727653838119477,restraint_interval
1.7666666666666666,0.0,0.35,0.8556945401822125,0.0,0.07963143774264314,0.1444883393748303,0.7320566570591756,restraint_interval
1.8,0.0,0.35,0.865290132287353,0.0,0.0803877690476318,0.14955879545976702,0.735878382379234,restraint_interval
1.8333333333333333,0.0,0.35,0.8743998773411538,0.0,0.08111305556775253,0.15469312811273395,0.7391362250938598,restraint_interval
1.8666666666666667,0.0,0.35,0.8830351528387692,0.0,0.0818055804802574,0.15988981423895798,0.7418468262849085,restraint_interval
1.9,0.0,0.35,0.8912067170295908,0.0,0.08246280818954342,0.16514731930305648,0.7440263167672763,restraint_interval
1.9333333333333333,0.0,0.35,0.8989249465732321,0.0,0.08308178253200685,0.17046409807922946,0.7456905163147065,restraint_interval
1.9666666666666666,0.0,0.35,0.9062002107866926,0.0,0.08365958837804205,0.17583859540271707,0.7468552385683144,restraint_interval
2.0,0.0,0.35,0.9130433299121685,0.0,0.08419382021621037,0.18126924692201818,0.7475366530918179,restraint_interval
2.033333333333333,0.0,0.35,0.9194660518926716,0.0,0.08468299852752835,0.1867544798513624,0.74775164763047,restraint_interval
2.0666666666666664,0.0,0.35,0.9254814780014531,0.0,0.08512688062135221,0.19229271372293744,0.7475181330962386,restraint_interval
2.1,0.0,0.35,0.9311043734085831,0.0,0.08552662698935597,0.1978823611383701,0.74685524153223,restraint_interval
2.1333333333333333,0.0,0.35,0.9363513137463118,0.0,0.08588480514159072,0.20352182851896838,0.7457833822365242,restraint_interval
2.1666666666666665,0.0,0.35,0.9412406405829414,0.0,0.08620523655449394,0.20920951685423572,0.7443241409230129,restraint_interval
2.2,0.0,0.35,0.9457922237741355,0.0,0.08649271406799884,0.21494382244817056,0.7425000279543673,restraint_interval
2.2333333333333334,0.0,0.35,0.9500270528087977,0.0,0.08675263246869636,0.22072313766286988,0.7403341008482309,restraint_interval
2.2666666666666666,0.0,0.35,0.9539666988740035,0.0,0.0869905814521831,0.22654585165896668,0.7378495006232993,restraint_interval
2.3,0.0,0.35,0.9576327020665806,0.0,0.08721194754641844,0.23241035113242714,0.7350689495233916,restraint_interval
2.3333333333333335,0.0,0.35,0.9610459432309275,0.0,0.08742156218440102,0.23831502104724844,0.7320142590424763,restraint_interval
2.3666666666666667,0.0,0.35,0.964226058026173,0.0,0.0876234206733266,0.24425824536359964,0.7287058929588396,restraint_interval
2.4,0.0,0.35,0.9671909436796948,0.0,0.08782048510614035,0.25023840776095874,0.7251626219324688,restraint_interval
2.433333333333333,0.0,0.35,0.969956398372322,0.0,0.08801457587124195,0.25625389235580043,0.721401295874001,restraint_interval
2.466666666666667,0.0,0.35,0.9725359208710738,0.0,0.08820635198948634,0.262303084413405,0.71743674912376,restraint_interval
2.5,0.0,0.35,0.974940684744091,0.0,0.088395378808352,0.2683843710533582,0.7132818422547178,restraint_interval
2.533333333333333,0.0,0.35,0.9771796874796588,0.0,0.08858028016230371,0.2744961419483283,0.7089476332762193,restraint_interval
2.5666666666666664,0.0,0.35,0.979260060037686,0.0,0.0887589683933732,0.28063679001570707,0.7044436601981212,restraint_interval
2.6,0.0,0.35,0.981187507055933,0.0,0.08892893812191437,0.28680471210171776,0.6997783065769541,restraint_interval
