kappa,gain,every_k,n_ticks,clock_slack_bits,slack_gate,memory_retention,error_info_bits,logical_leak_bits,phase_lock,braid_score
0.3773,2.4,1,48,0.997651,0.009372,0.02187,0.163323,0.001411,0.419648,0.001495
0.3773,2.7,1,48,0.997967,0.008114,0.024874,0.157699,0.006409,0.428391,0.001659
0.3773,3.0,1,48,0.996516,0.013886,0.025221,0.194642,0.00018,0.552169,0.00271
0.3773,3.3,1,48,0.996036,0.015792,0.0222,0.177815,0.001143,0.5218,0.002055
0.4591,0.0,1,48,0.999828,0.000689,0.003361,0.027853,0.000543,0.055589,5e-06
0.4591,0.3,1,48,0.999881,0.000475,0.002221,0.03855,0.000189,0.093783,8e-06
0.4591,0.6,1,48,0.999548,0.001809,0.003586,0.034577,0.001068,0.087354,1.1e-05
0.4591,0.9,1,48,0.999778,0.000887,0.002719,0.070687,0.000614,0.126682,2.4e-05
0.4591,1.2,1,48,0.999628,0.001486,0.003937,0.075096,0.002878,0.189456,5.6e-05
0.4591,1.5,1,48,0.999023,0.003903,0.002671,0.137754,0.004557,0.251473,9.2e-05
0.4591,1.8,1,48,0.998323,0.006699,0.003274,0.165426,0.004103,0.352441,0.000189
0.4591,2.1,1,48,0.997375,0.010472,0.00282,0.149067,0.000374,0.348281,0.000146
0.4591,2.4,1,48,0.993701,0.025037,0.003831,0.193538,0.004838,0.476476,0.00035
0.4591,2.7,1,48,0.994229,0.022949,0.004041,0.160133,0.00044,0.490846,0.000317
0.4591,3.0,1,48,0.994558,0.021651,0.004172,0.197225,0.001077,0.499543,0.00041
0.4591,3.3,1,48,0.995101,0.019502,0.003287,0.192595,0.001654,0.523745,0.00033
0.5409,0.0,1,48,0.999739,0.001044,0.000246,0.018944,0.004524,0.127424,1e-06
0.5409,0.3,1,48,0.999666,0.001336,0.000227,0.034857,0.002027,0.144114,1e-06
0.5409,0.6,1,48,0.998991,0.004033,0.000332,0.041583,0.000457,0.212159,3e-06
0.5409,0.9,1,48,0.999541,0.001837,0.000183,0.093029,0.001374,0.144435,2e-06
0.5409,1.2,1,48,0.998641,0.00543,0.000294,0.071208,0.00185,0.223393,5e-06
0.5409,1.5,1,48,0.996586,0.013609,0.000207,0.154101,0.000395,0.325782,1e-05
0.5409,1.8,1,48,0.996268,0.01487,0.000163,0.188102,5.7e-05,0.350496,1.1e-05
0.5409,2.1,1,48,0.996146,0.015356,0.000255,0.174888,0.009081,0.373285,1.6e-05
0.5409,2.4,1,48,0.993806,0.024621,0.000244,0.198433,1.7e-05,0.503597,2.4e-05
0.5409,2.7,1,48,0.9921,0.031349,0.000733,0.169497,0.007313,0.51451,6.3e-05
0.5409,3.0,1,48,0.991267,0.034629,0.000348,0.218078,0.000113,0.539546,4.1e-05
0.5409,3.3,1,48,0.992621,0.029296,0.000342,0.202789,0.004529,0.556878,3.8e-05
0.6227,0.0,1,48,0.999879,0.000484,5e-06,0.007572,0.002944,0.112358,0.0
0.6227,0.3,1,48,0.999083,0.003663,2e-06,0.007743,0.006211,0.180107,0.0
0.6227,0.6,1,48,0.999215,0.003138,1e-05,0.036089,0.002112,0.156688,0.0
0.6227,0.9,1,48,0.998938,0.004245,3e-06,0.039685,0.001773,0.209103,0.0
0.6227,1.2,1,48,0.998368,0.006519,3.4e-05,0.079386,0.010832,0.23782,1e-06
0.6227,1.5,1,48,0.997022,0.011878,6e-06,0.111801,0.003524,0.305848,0.0
0.6227,1.8,1,48,0.995881,0.016408,2.4e-05,0.142867,0.002349,0.357705,1e-06
0.6227,2.1,1,48,0.993033,0.027674,1.2e-05,0.147058,0.001095,0.426291,1e-06
0.6227,2.4,1,48,0.992011,0.031702,7e-06,0.181073,0.005148,0.461978,1e-06
0.6227,2.7,1,48,0.989701,0.040772,4e-06,0.168681,0.000219,0.513557,0.0
0.6227,3.0,1,48,0.990717,0.036787,5e-06,0.171548,0.011986,0.53837,0.0
0.6227,3.3,1,48,0.987203,0.050535,3e-06,0.174504,0.00085,0.591343,0.0
0.7045,0.0,1,48,0.999813,0.000748,0.0,0.000288,0.002533,0.086498,0.0
0.7045,0.3,1,48,0.999705,0.001178,0.0,0.010595,0.00136,0.101283,0.0
0.7045,0.6,1,48,0.998907,0.004366,0.0,0.021409,0.001366,0.165356,0.0
0.7045,0.9,1,48,0.997976,0.00808,0.0,0.032018,0.000582,0.225978,0.0
0.7045,1.2,1,48,0.99722,0.011089,0.0,0.0692,0.000138,0.270828,0.0
0.7045,1.5,1,48,0.995582,0.017595,0.0,0.047326,0.001663,0.327015,0.0
0.7045,1.8,1,48,0.992905,0.028179,0.0,0.057303,0.002513,0.400205,0.0
