kappa,gain,every_k,n_ticks,clock_slack_bits,slack_gate,memory_retention,error_info_bits,logical_leak_bits,phase_lock,braid_score,budget
0.400678,1.65,4,12,0.999769,0.000926,0.351029,0.001414,0.000414,0.0,0.0,1.05
0.400678,3.3,4,12,0.999876,0.000497,0.360304,0.002248,0.002605,0.029464,2.4e-05,1.05
0.480493,0.0,6,8,0.999159,0.003361,0.352464,0.002389,0.003375,0.021679,1.8e-05,1.05
0.480493,1.65,6,8,0.998942,0.004229,0.361286,0.00809,0.002869,0.130075,0.000378,1.05
0.480493,3.3,6,8,0.999202,0.00319,0.355499,0.000506,0.000193,0.069373,1.2e-05,1.05
0.543426,0.0,8,6,0.99879,0.004835,0.348763,0.001517,0.009427,0.125234,6.5e-05,1.05
0.543426,1.65,8,6,0.995852,0.016524,0.349569,0.00114,0.002148,0.010223,4e-06,1.05
0.543426,3.3,8,6,0.997567,0.009707,0.372857,0.002585,0.000616,0.033225,3.2e-05,1.05
0.639097,0.0,12,4,0.987697,0.048606,0.340967,0.000693,0.002753,0.136912,3.2e-05,1.05
0.639097,1.65,12,4,0.984187,0.062252,0.349633,0.001931,0.001225,0.065196,4.4e-05,1.05
0.639097,3.3,12,4,0.986856,0.051885,0.35708,0.000471,0.003411,0.068456,1.1e-05,1.05
0.238043,0.0,1,48,0.999949,0.000202,0.239494,0.007248,0.004338,0.0,0.0,1.4
0.238043,1.65,1,48,0.999771,0.000914,0.264462,0.030627,0.004521,0.141489,0.001136,1.4
0.238043,3.3,1,48,0.999624,0.001505,0.227764,0.064292,0.003607,0.342054,0.004973,1.4
0.331841,0.0,2,24,0.999708,0.001167,0.261356,0.001432,0.003496,0.0,0.0,1.4
0.331841,1.65,2,24,0.9997,0.0012,0.238784,0.01837,0.000436,0.0,0.0,1.4
0.331841,3.3,2,24,0.999653,0.001386,0.257913,0.02968,0.005376,0.066967,0.000507,1.4
0.400678,0.0,3,16,0.999497,0.002012,0.237952,0.001727,0.004556,0.0,0.0,1.4
0.400678,1.65,3,16,0.999086,0.003651,0.232807,0.006661,0.000208,0.0,0.0,1.4
0.400678,3.3,3,16,0.999769,0.000922,0.263012,0.023691,0.002238,0.009099,5.6e-05,1.4
0.456191,0.0,4,12,0.999798,0.000809,0.251108,0.000332,0.002141,0.141571,1.2e-05,1.4
0.456191,1.65,4,12,0.998894,0.00442,0.241032,0.004383,0.001522,0.0,0.0,1.4
0.456191,3.3,4,12,0.998957,0.004169,0.252139,0.007068,0.002128,0.0,0.0,1.4
0.543426,0.0,6,8,0.998283,0.006856,0.231193,0.000458,0.00376,0.028753,3e-06,1.4
0.543426,1.65,6,8,0.997343,0.010599,0.237305,0.017724,9.5e-05,0.053672,0.000226,1.4
0.543426,3.3,6,8,0.998929,0.00428,0.262606,0.000412,0.000411,0.03067,3e-06,1.4
0.610664,0.0,8,6,0.995895,0.016351,0.259264,0.008217,0.001021,0.07278,0.000155,1.4
0.610664,1.65,8,6,0.996881,0.012436,0.232754,0.002889,0.010816,0.106896,7e-05,1.4
0.610664,3.3,8,6,0.996303,0.014733,0.254535,0.005431,0.000942,0.047762,6.6e-05,1.4
0.709517,0.0,12,4,0.991763,0.032676,0.235679,0.000114,0.000558,0.138005,4e-06,1.4
0.709517,1.65,12,4,0.984513,0.060987,0.25478,7.9e-05,0.000454,0.187921,4e-06,1.4
0.709517,3.3,12,4,0.994562,0.021634,0.241943,0.000403,0.003861,0.229029,2.2e-05,1.4
0.28945,0.0,1,48,0.999934,0.000263,0.128564,0.009539,0.002397,0.011396,1.4e-05,2.1
0.28945,1.65,1,48,0.999887,0.000451,0.11863,0.071541,0.000335,0.123558,0.001048,2.1
0.28945,3.3,1,48,0.998695,0.005213,0.119064,0.088765,0.003363,0.408462,0.004288,2.1
0.400678,0.0,2,24,0.999961,0.000155,0.13464,0.009412,0.000546,0.042463,5.4e-05,2.1
0.400678,1.65,2,24,0.999517,0.001931,0.114247,0.038204,0.001209,0.0,0.0,2.1
0.400678,3.3,2,24,0.999941,0.000236,0.124087,0.052566,0.003097,0.089258,0.000579,2.1
0.480493,0.0,3,16,0.999638,0.001448,0.113196,0.012912,0.001587,0.049862,7.3e-05,2.1
