metric,value
budget_cells,42
best_braid_score,0.006942
best_budget,1.05
best_every_k,1
best_kappa,0.206898
best_gain,3.3
best_n_ticks,48
best_memory_retention,0.361444
best_error_info_bits,0.060515
best_phase_lock,0.318864
fastest_rate_mean_braid,0.004503
slowest_rate_mean_braid,7.1e-05
fastest_rate_mean_error_info,0.064618
slowest_rate_mean_error_info,0.002415
fastest_rate_mean_memory,0.329269
slowest_rate_mean_memory,0.336041
grid_max_leak_bits,0.010816
