scenario,tau,theta,shear_sq,det_J,volume,volume_bound_exp,volume_bound_cubic,cells_occupied,entropy_bits,shape_constant_c,in_R_regime,s1,s2,s3,rank_ell,Rprime_bound_cells,c3_meas
strong_shear,0.981198,-179.3827644,0.96699625,0.005306536488,0.02222796806,2.32493751,2.175045904,320.5,8.111672,14.418772,1,0.96699625,0.96699625,0.005674944,2,120.30891,2.663975
strong_shear,0.984066,-364.35704311,0.96438235,0.00258849378,0.01084265739,2.320939838,2.170392172,318.5,8.103989,29.374718,1,0.96438235,0.96438235,0.002783227,2,116.44412,2.735217
strong_shear,0.985476,-743.09231336,0.96292476,0.001262518794,0.005288426356,2.318977776,2.168107617,317.75,8.100043,60.084036,1,0.96292476,0.96292476,0.0013616113,2,114.51926,2.774642
strong_shear,0.986166,-1519.14599322,0.96212591,0.0006157464787,0.002579232819,2.318017369,2.166989233,317.0,8.097579,122.904764,1,0.96212591,0.96212591,0.00066517837,2,113.56154,2.791438
strong_shear,0.986504,-3109.92154486,0.96169382,0.0003002968928,0.001257880683,2.317548019,2.166442652,316.75,8.09617,251.812437,1,0.96169382,0.96169382,0.00032469619,2,113.08537,2.800981
strong_shear,0.986669,-6371.32342051,0.9614625,0.0001464506432,0.0006134510196,2.317318863,2.166175781,316.5,8.095634,515.933611,0,0.9614625,0.9614625,0.00015842605,2,112.84876,2.804639
strong_shear,0.986749,-13058.42259979,0.9613397,7.142119245e-05,0.0002991683913,2.317207038,2.16604555,316.25,8.095061,1057.09697,0,0.9613397,0.9613397,7.7281109e-05,2,112.73125,2.805345
strong_shear,0.986788,-26770.0725524,0.96127494,3.483055596e-05,0.0001458978916,2.317152485,2.165982018,316.25,8.09482,2167.611858,0,0.96127494,0.96127494,3.7693387e-05,2,112.6729,2.806797
strong_shear,0.986807,-54885.88776122,0.961241,1.698604915e-05,7.115099628e-05,2.317125877,2.16595103,316.25,8.094731,4444.772618,0,0.961241,0.961241,1.8383483e-05,2,112.64395,2.807519
unbound_expansion,0.0,2.0,1.0,1,4.188790205,nan,nan,4546.75,11.963039,1.085457,1,1,1,1,3,1331,3.416041
unbound_expansion,0.05,1.91244493,1.0331295,1.102717564,4.619052531,nan,nan,4943.75,12.079969,1.070295,1,1.0331295,1.0331295,1.0331295,3,1454.9184,3.397957
unbound_expansion,0.1,1.83240417,1.06586841,1.210906956,5.072235198,nan,nan,5341.5,12.188073,1.053086,1,1.0658684,1.0658684,1.0658684,3,1584.7056,3.370658
unbound_expansion,0.15,1.75894642,1.09824037,1.324622745,5.54856678,nan,nan,5804.75,12.298174,1.046171,1,1.0982404,1.0982404,1.0982404,3,1720.4095,3.374051
unbound_expansion,0.2,1.69128832,1.1302667,1.443918886,6.048273288,nan,nan,6222.0,12.398291,1.028723,1,1.1302667,1.1302667,1.1302667,3,1862.0777,3.341429
unbound_expansion,0.25,1.62876625,1.16196673,1.56884876,6.57157832,nan,nan,6614.5,12.48276,1.006531,1,1.1619667,1.1619667,1.1619667,3,2009.7578,3.291193
unbound_expansion,0.3,1.57081425,1.19335803,1.699465202,7.118703193,nan,nan,7052.25,12.574637,0.990665,1,1.193358,1.193358,1.193358,3,2163.497,3.259653
unbound_expansion,0.35,1.51694668,1.22445663,1.835820534,7.689867071,nan,nan,7465.0,12.655438,0.970758,1,1.2244566,1.2244566,1.2244566,3,2323.3424,3.213043
unbound_expansion,0.4,1.46674445,1.25527723,1.977966588,8.28528707,nan,nan,7871.75,12.729235,0.950088,1,1.2552772,1.2552772,1.2552772,3,2489.3412,3.162182
unbound_expansion,0.45,1.419844,1.28583331,2.125954734,8.905178366,nan,nan,8285.0,12.805225,0.930358,1,1.2858333,1.2858333,1.2858333,3,2661.5399,3.11286
unbound_expansion,0.5,1.37592839,1.3161373,2.279835901,9.549754289,nan,nan,8682.0,12.874967,0.909133,1,1.3161373,1.3161373,1.3161373,3,2839.9852,3.057058
unbound_expansion,0.55,1.33472004,1.34620067,2.439660596,10.21922641,nan,nan,9056.25,12.940393,0.886197,1,1.3462007,1.3462007,1.3462007,3,3024.7235,2.994075
unbound_expansion,0.6,1.29597482,1.37603407,2.605478927,10.91380461,nan,nan,9464.0,13.003369,0.867159,1,1.3760341,1.3760341,1.3760341,3,3215.8009,2.942968
unbound_expansion,0.65,1.25947715,1.40564736,2.777340618,11.63369718,nan,nan,9847.5,13.063355,0.846463,1,1.4056474,1.4056474,1.4056474,3,3413.2634,2.885069
unbound_expansion,0.7,1.22503593,1.43504972,2.955295025,12.37911085,nan,nan,10203.5,13.118672,0.824251,1,1.4350497,1.4350497,1.4350497,3,3617.1568,2.820862
unbound_expansion,0.75,1.19248115,1.4642497,3.139391153,13.15025091,nan,nan,10563.25,13.17262,0.803274,1,1.4642497,1.4642497,1.4642497,3,3827.5268,2.759811
unbound_expansion,0.8,1.16166111,1.4932553,3.329677671,13.94732121,nan,nan,10887.25,13.221311,0.780598,1,1.4932553,1.4932553,1.4932553,3,4044.4187,2.69192
unbound_expansion,0.85,1.13243995,1.522074,3.526202921,14.77052426,nan,nan,11220.0,13.269011,0.759621,1,1.522074,1.522074,1.522074,3,4267.8779,2.628941
unbound_expansion,0.9,1.10469567,1.55071281,3.729014937,15.62006124,nan,nan,11532.25,13.310877,0.738297,1,1.5507128,1.5507128,1.5507128,3,4497.9494,2.563891
unbound_expansion,0.95,1.07831841,1.57917832,3.93816145,16.49613211,nan,nan,11818.75,13.349618,0.716456,1,1.5791783,1.5791783,1.5791783,3,4734.678,2.49621
unbound_expansion,1.0,1.05320895,1.60747671,4.153689903,17.39893558,nan,nan,12101.25,13.387298,0.695517,1,1.6074767,1.6074767,1.6074767,3,4978.1086,2.430893
unbound_expansion,1.05,1.02927746,1.63561383,4.375647462,18.32866923,nan,nan,12388.0,13.425149,0.675881,1,1.6356138,1.6356138,1.6356138,3,5228.2857,2.369419
unbound_expansion,1.1,1.00644244,1.66359518,4.604081022,19.28552949,nan,nan,12636.5,13.458611,0.655232,1,1.6635952,1.6635952,1.6635952,3,5485.2536,2.303722
unbound_expansion,1.15,0.98462974,1.69142594,4.83903722,20.26971171,nan,nan,12874.0,13.489511,0.635135,1,1.6914259,1.6914259,1.6914259,3,5749.0565,2.239324
unbound_expansion,1.2,0.96377177,1.71911105,5.080562442,21.28141019,nan,nan,13144.0,13.522842,0.617628,1,1.719111,1.719111,1.719111,3,6019.7386,2.183484
unbound_expansion,1.25,0.94380677,1.74665514,5.328702828,22.32081821,nan,nan,13371.25,13.551803,0.599048,1,1.7466551,1.7466551,1.7466551,3,6297.3437,2.123316
unbound_expansion,1.3,0.92467822,1.77406264,5.583504288,23.38812807,nan,nan,13613.25,13.582592,0.582058,1,1.7740626,1.7740626,1.7740626,3,6581.9156,2.068281
unbound_expansion,1.35,0.90633428,1.80133774,5.8450125,24.48353111,nan,nan,13851.5,13.611217,0.565748,1,1.8013377,1.8013377,1.8013377,3,6873.4979,2.015204
unbound_expansion,1.4,0.88872731,1.82848441,6.113272924,25.60721774,nan,nan,14053.5,13.637547,0.54881,1,1.8284844,1.8284844,1.8284844,3,7172.134,1.959459
unbound_expansion,1.45,0.87181346,1.85550644,6.388330804,26.7593775,nan,nan,14233.5,13.65927,0.531907,1,1.8555064,1.8555064,1.8555064,3,7477.8672,1.903417
unbound_expansion,1.5,0.85555231,1.88240743,6.670231179,27.94019903,nan,nan,14394.0,13.678356,0.515172,1,1.8824074,1.8824074,1.8824074,3,7790.7407,1.847578
unbound_expansion,1.55,0.83990651,1.90919082,6.959018883,29.14987013,nan,nan,14583.25,13.699954,0.500285,1,1.9091908,1.9091908,1.9091908,3,8110.7975,1.798004
unbound_expansion,1.6,0.82484155,1.93585989,7.254738555,30.3885778,nan,nan,14762.75,13.721776,0.485799,1,1.9358599,1.9358599,1.9358599,3,8438.0804,1.749539
unbound_expansion,1.65,0.81032542,1.96241777,7.557434646,31.65650822,nan,nan,14964.0,13.745955,0.472699,1,1.9624178,1.9624178,1.9624178,3,8772.6322,1.705759
unbound_expansion,1.7,0.79632844,1.98886743,7.867151418,32.9538468,nan,nan,15142.5,13.766518,0.459506,1,1.9888674,1.9888674,1.9888674,3,9114.4955,1.661365
unbound_expansion,1.75,0.78282305,2.01521175,8.183932954,34.28077819,nan,nan,15278.75,13.781131,0.445694,1,2.0152118,2.0152118,2.0152118,3,9463.7128,1.614456
unbound_expansion,1.8,0.7697836,2.04145347,8.507823162,35.63748632,nan,nan,15400.5,13.794781,0.432143,1,2.0414535,2.0414535,2.0414535,3,9820.3264,1.568227
unbound_expansion,1.85,0.7571862,2.06759519,8.838865778,37.02415439,nan,nan,15560.75,13.814531,0.420286,1,2.0675952,2.0675952,2.0675952,3,10184.379,1.527904
unbound_expansion,1.9,0.74500856,2.09363944,9.177104374,38.44096491,nan,nan,15690.25,13.829574,0.408165,1,2.0936394,2.0936394,2.0936394,3,10555.911,1.486395
unbound_expansion,1.95,0.7332299,2.11958862,9.522582355,39.88809969,nan,nan,15821.0,13.844721,0.396635,1,2.1195886,2.1195886,2.1195886,3,10934.967,1.446827
unbound_expansion,2.0,0.72183075,2.14544505,9.87534297,41.3657399,nan,nan,15957.75,13.859376,0.385772,1,2.1454451,2.1454451,2.1454451,3,11321.587,1.409498
unbound_expansion,2.05,0.71079292,2.17121095,10.23542932,42.87406606,nan,nan,16066.75,13.871548,0.374743,1,2.171211,2.171211,2.171211,3,11715.813,1.371373
unbound_expansion,2.1,0.70009937,2.19688846,10.60288433,44.41325804,nan,nan,16175.25,13.885022,0.364199,1,2.1968885,2.1968885,2.1968885,3,12117.687,1.334846
unbound_expansion,2.15,0.68973409,2.22247963,10.97775082,45.9834951,nan,nan,16305.0,13.898914,0.354584,1,2.2224796,2.2224796,2.2224796,3,12527.25,1.301563
unbound_expansion,2.2,0.67968208,2.24798644,11.36007143,47.58495592,nan,nan,16410.25,13.911261,0.344862,1,2.2479864,2.2479864,2.2479864,3,12944.544,1.267735
unbound_expansion,2.25,0.66992923,2.27341079,11.74988867,49.21781856,nan,nan,16555.0,13.926599,0.336362,1,2.2734108,2.2734108,2.2734108,3,13369.61,1.238256
unbound_expansion,2.3,0.66046226,2.29875452,12.14724491,50.88226051,nan,nan,16629.75,13.934565,0.326828,1,2.2987545,2.2987545,2.2987545,3,13802.489,1.204837
unbound_expansion,2.35,0.65126868,2.32401939,12.55218241,52.57845872,nan,nan,16750.25,13.947997,0.318576,1,2.3240194,2.3240194,2.3240194,3,14243.223,1.176015
unbound_expansion,2.4,0.64233671,2.34920711,12.96474326,54.30658956,nan,nan,16819.0,13.95604,0.309705,1,2.3492071,2.3492071,2.3492071,3,14691.852,1.144784
unbound_expansion,2.45,0.63365526,2.37431933,13.38496944,56.06682888,nan,nan,16912.0,13.965689,0.30164,1,2.3743193,2.3743193,2.3743193,3,15148.417,1.11642
unbound_expansion,2.5,0.62521382,2.39935763,13.81290281,57.85935199,nan,nan,16994.0,13.975256,0.293712,1,2.3993576,2.3993576,2.3993576,3,15612.959,1.088455
unbound_expansion,2.55,0.6170025,2.42432355,14.2485851,59.6843337,nan,nan,17105.25,13.987576,0.286595,1,2.4243235,2.4243235,2.4243235,3,16085.518,1.063394
unbound_expansion,2.6,0.60901193,2.44921857,14.69205792,61.54194831,nan,nan,17172.25,13.994583,0.279033,1,2.4492186,2.4492186,2.4492186,3,16566.136,1.036588
unbound_expansion,2.65,0.60123324,2.47404413,15.14336276,63.43236961,nan,nan,17237.0,14.001811,0.271738,1,2.4740441,2.4740441,2.4740441,3,17054.852,1.01068
unbound_expansion,2.7,0.59365805,2.49880161,15.602541,65.35577092,nan,nan,17335.75,14.012396,0.265252,1,2.4988016,2.4988016,2.4988016,3,17551.708,0.987696
unbound_expansion,2.75,0.58627839,2.52349236,16.0696339,67.31232508,nan,nan,17392.25,14.017711,0.258381,1,2.5234924,2.5234924,2.5234924,3,18056.743,0.9632
unbound_expansion,2.8,0.57908673,2.54811767,16.54468261,69.30220447,nan,nan,17432.5,14.022079,0.251543,1,2.5481177,2.5481177,2.5481177,3,18569.997,0.938745
unbound_expansion,2.85,0.5720759,2.57267881,17.02772818,71.325581,nan,nan,17534.25,14.032743,0.245834,1,2.5726788,2.5726788,2.5726788,3,19091.511,0.918432
unbound_expansion,2.9,0.5652391,2.59717699,17.51881153,73.38262614,nan,nan,17559.5,14.03575,0.239287,1,2.597177,2.597177,2.597177,3,19621.325,0.894919
unbound_expansion,2.95,0.55856988,2.6216134,18.0179735,75.47351092,nan,nan,17626.75,14.043129,0.233549,1,2.6216134,2.6216134,2.6216134,3,20159.479,0.874365
unbound_expansion,3.0,0.55206209,2.64598918,18.52525483,77.59840595,nan,nan,17702.5,14.050926,0.22813,1,2.6459892,2.6459892,2.6459892,3,20706.012,0.854945
unbound_expansion,3.05,0.54570988,2.67030544,19.04069612,79.7574814,nan,nan,17724.25,14.053417,0.222227,1,2.6703054,2.6703054,2.6703054,3,21260.965,0.833652
unbound_expansion,3.1,0.53950768,2.69456327,19.56433792,81.95090702,nan,nan,17797.75,14.061456,0.217176,1,2.6945633,2.6945633,2.6945633,3,21824.376,0.815499
unbound_expansion,3.15,0.5334502,2.7187637,20.09622064,84.17885218,nan,nan,17847.75,14.066414,0.212022,1,2.7187637,2.7187637,2.7187637,3,22396.286,0.796907
unbound_expansion,3.2,0.52753237,2.74290777,20.63638463,86.44148581,nan,nan,17946.75,14.076729,0.207617,1,2.7429078,2.7429078,2.7429078,3,22976.735,0.781084
unbound_expansion,3.25,0.52174938,2.76699645,21.18487013,88.73897649,nan,nan,17976.75,14.080312,0.20258,1,2.7669965,2.7669965,2.7669965,3,23565.761,0.762833
unbound_expansion,3.3,0.51609662,2.79103071,21.74171728,91.07149237,nan,nan,18022.75,14.084923,0.197897,1,2.7910307,2.7910307,2.7910307,3,24163.404,0.74587
unbound_expansion,3.35,0.5105697,2.81501147,22.30696614,93.43920126,nan,nan,18061.0,14.088782,0.193291,1,2.8150115,2.8150115,2.8150115,3,24769.703,0.729157
unbound_expansion,3.4,0.50516442,2.83893966,22.88065668,95.84227057,nan,nan,18141.25,14.097393,0.189282,1,2.8389397,2.8389397,2.8389397,3,25384.698,0.714653
unbound_expansion,3.45,0.49987677,2.86281614,23.46282878,98.28086735,nan,nan,18179.0,14.101614,0.18497,1,2.8628161,2.8628161,2.8628161,3,26008.428,0.698966
unbound_expansion,3.5,0.49470291,2.88664178,24.05352223,100.7551583,nan,nan,18189.25,14.1027,0.180529,1,2.8866418,2.8866418,2.8866418,3,26640.932,0.682756
unbound_expansion,3.55,0.48963917,2.91041742,24.65277674,103.2653097,nan,nan,18226.5,14.106573,0.176502,1,2.9104174,2.9104174,2.9104174,3,27282.248,0.668072
unbound_expansion,3.6,0.48468204,2.93414386,25.26063194,105.8114876,nan,nan,18263.0,14.110309,0.172599,1,2.9341439,2.9341439,2.9341439,3,27932.416,0.653828
unbound_expansion,3.65,0.47982815,2.95782191,25.87712738,108.3938577,nan,nan,18301.0,14.113952,0.168838,1,2.9578219,2.9578219,2.9578219,3,28591.475,0.640086
unbound_expansion,3.7,0.47507428,2.98145232,26.50230251,111.0125852,nan,nan,18348.75,14.119041,0.165285,1,2.9814523,2.9814523,2.9814523,3,29259.463,0.627105
unbound_expansion,3.75,0.47041733,3.00503586,27.13619672,113.667835,nan,nan,18393.75,14.123763,0.16182,1,3.0050359,3.0050359,3.0050359,3,29936.42,0.614427
unbound_expansion,3.8,0.46585434,3.02857326,27.77884932,116.3597719,nan,nan,18449.75,14.129691,0.158558,1,3.0285733,3.0285733,3.0285733,3,30622.383,0.602492
unbound_expansion,3.85,0.46138246,3.05206523,28.43029954,119.0885602,nan,nan,18468.25,14.13154,0.15508,1,3.0520652,3.0520652,3.0520652,3,31317.392,0.589712
unbound_expansion,3.9,0.45699897,3.07551247,29.09058652,121.8543639,nan,nan,18496.75,14.134807,0.151794,1,3.0755125,3.0755125,3.0755125,3,32021.485,0.577636
unbound_expansion,3.95,0.45270123,3.09891566,29.75974935,124.6573466,nan,nan,18514.25,14.136466,0.148521,1,3.0989157,3.0989157,3.0989157,3,32734.7,0.565585
unbound_expansion,4.0,0.44848674,3.12227545,30.43782704,127.4976718,nan,nan,18579.25,14.143226,0.145722,1,3.1222755,3.1222755,3.1222755,3,33457.077,0.555316
unbound_expansion,4.05,0.44435307,3.14559251,31.12485851,130.3755025,nan,nan,18597.0,14.14506,0.142642,1,3.1455925,3.1455925,3.1455925,3,34188.652,0.543952
unbound_expansion,4.1,0.44029789,3.16886745,31.82088263,133.2910015,nan,nan,18615.0,14.146607,0.139657,1,3.1688675,3.1688675,3.1688675,3,34929.465,0.532931
unbound_expansion,4.15,0.43631897,3.1921009,32.52593819,136.2443313,nan,nan,18651.0,14.15046,0.136894,1,3.1921009,3.1921009,3.1921009,3,35679.554,0.522736
unbound_expansion,4.2,0.43241415,3.21529346,33.24006391,139.2356541,nan,nan,18662.0,14.151793,0.134032,1,3.2152935,3.2152935,3.2152935,3,36438.956,0.512144
unbound_expansion,4.25,0.42858135,3.23844571,33.96329845,142.2651319,nan,nan,18698.5,14.155861,0.131434,1,3.2384457,3.2384457,3.2384457,3,37207.711,0.502544
unbound_expansion,4.3,0.42481858,3.26155823,34.6956804,145.3329262,nan,nan,18744.25,14.160373,0.128975,1,3.2615582,3.2615582,3.2615582,3,37985.856,0.493453
unbound_expansion,4.35,0.42112393,3.28463158,35.43724827,148.4391984,nan,nan,18776.5,14.163756,0.126493,1,3.2846316,3.2846316,3.2846316,3,38773.429,0.484262
unbound_expansion,4.4,0.41749552,3.30766631,36.18804052,151.5841096,nan,nan,18776.25,14.163712,0.123867,1,3.3076663,3.3076663,3.3076663,3,39570.467,0.474502
unbound_expansion,4.45,0.41393159,3.33066295,36.94809554,154.7678207,nan,nan,18805.5,14.166533,0.121508,1,3.3306629,3.3306629,3.3306629,3,40377.01,0.465748
unbound_expansion,4.5,0.4104304,3.35362203,37.71745166,157.9904921,nan,nan,18831.75,14.169243,0.119195,1,3.353622,3.353622,3.353622,3,41193.095,0.457158
unbound_expansion,4.55,0.40699029,3.37654407,38.49614714,161.2522841,nan,nan,18852.75,14.171305,0.116915,1,3.3765441,3.3765441,3.3765441,3,42018.758,0.448675
unbound_expansion,4.6,0.40360967,3.39942955,39.2842202,164.5533568,nan,nan,18855.25,14.171589,0.114584,1,3.3994296,3.3994296,3.3994296,3,42854.039,0.439988
unbound_expansion,4.65,0.40028698,3.42227898,40.08170896,167.8938699,nan,nan,18895.25,14.175609,0.112543,1,3.422279,3.422279,3.422279,3,43698.975,0.432396
unbound_expansion,4.7,0.39702074,3.44509284,40.88865152,171.273983,nan,nan,18918.75,14.178163,0.110459,1,3.4450928,3.4450928,3.4450928,3,44553.604,0.424629
unbound_expansion,4.75,0.3938095,3.46787158,41.7050859,174.6938553,nan,nan,18946.25,14.180995,0.108454,1,3.4678716,3.4678716,3.4678716,3,45417.962,0.417153
unbound_expansion,4.8,0.39065186,3.49061568,42.53105005,178.1536459,nan,nan,18955.25,14.181873,0.106398,1,3.4906157,3.4906157,3.4906157,3,46292.088,0.409471
unbound_expansion,4.85,0.38754648,3.51332558,43.3665819,181.6535135,nan,nan,18963.0,14.182689,0.104391,1,3.5133256,3.5133256,3.5133256,3,47176.019,0.401963
unbound_expansion,4.9,0.38449206,3.53600172,44.21171928,185.1936167,nan,nan,18970.25,14.183548,0.102435,1,3.5360017,3.5360017,3.5360017,3,48069.792,0.39464
unbound_expansion,4.95,0.38148734,3.55864454,45.06649999,188.7741137,nan,nan,18997.75,14.186402,0.100637,1,3.5586445,3.5586445,3.5586445,3,48973.445,0.387919
unbound_expansion,5.0,0.3785311,3.58125446,45.93096178,192.3951628,nan,nan,19058.75,14.192515,0.09906,1,3.5812545,3.5812545,3.5812545,3,49887.014,0.382038
unbound_expansion,5.05,0.37562217,3.60383188,46.80514231,196.0569217,nan,nan,19073.5,14.193889,0.097286,1,3.6038319,3.6038319,3.6038319,3,50810.539,0.375385
unbound_expansion,5.1,0.3727594,3.62637723,47.68907923,199.759548,nan,nan,19082.5,14.194859,0.095527,1,3.6263772,3.6263772,3.6263772,3,51744.054,0.368786
unbound_expansion,5.15,0.3699417,3.64889089,48.58281011,203.5031991,nan,nan,19109.5,14.197703,0.093903,1,3.6488909,3.6488909,3.6488909,3,52687.598,0.362694
unbound_expansion,5.2,0.36716799,3.67137325,49.48637246,207.2880322,nan,nan,19090.75,14.19591,0.092098,1,3.6713733,3.6713733,3.6713733,3,53641.208,0.355897
unbound_expansion,5.25,0.36443724,3.69382471,50.39980377,211.1142044,nan,nan,19113.25,14.198188,0.090535,1,3.6938247,3.6938247,3.6938247,3,54604.921,0.350028
unbound_expansion,5.3,0.36174844,3.71624562,51.32314145,214.9818722,nan,nan,19137.75,14.200704,0.08902,1,3.7162456,3.7162456,3.7162456,3,55578.773,0.344336
unbound_expansion,5.35,0.35910063,3.73863636,52.25642287,218.8911922,nan,nan,19146.25,14.201384,0.087469,1,3.7386364,3.7386364,3.7386364,3,56562.803,0.338495
unbound_expansion,5.4,0.35649287,3.7609973,53.19968534,222.8423208,nan,nan,19170.0,14.203914,0.086025,1,3.7609973,3.7609973,3.7609973,3,57557.045,0.333061
unbound_expansion,5.45,0.35392424,3.78332877,54.15296614,226.8354141,nan,nan,19171.25,14.204067,0.084516,1,3.7833288,3.7833288,3.7833288,3,58561.539,0.327369
unbound_expansion,5.5,0.35139386,3.80563114,55.11630248,230.8706279,nan,nan,19185.5,14.205454,0.083101,1,3.8056311,3.8056311,3.8056311,3,59576.32,0.322032
unbound_expansion,5.55,0.34890086,3.82790473,56.08973153,234.948118,nan,nan,19199.0,14.206933,0.081716,1,3.8279047,3.8279047,3.8279047,3,60601.425,0.316808
unbound_expansion,5.6,0.34644443,3.85014989,57.07329043,239.0680399,nan,nan,19221.5,14.209315,0.080402,1,3.8501499,3.8501499,3.8501499,3,61636.891,0.311851
unbound_expansion,5.65,0.34402374,3.87236694,58.06701623,243.2305488,nan,nan,19234.75,14.21064,0.07908,1,3.8723669,3.8723669,3.8723669,3,62682.755,0.306859
unbound_expansion,5.7,0.34163802,3.8945562,59.07094598,247.4357999,nan,nan,19255.75,14.212668,0.077821,1,3.8945562,3.8945562,3.8945562,3,63739.053,0.302103
unbound_expansion,5.75,0.3392865,3.91671799,60.08511665,251.6839481,nan,nan,19266.0,14.213608,0.076548,1,3.916718,3.916718,3.916718,3,64805.822,0.297288
unbound_expansion,5.8,0.33696845,3.93885262,61.10956518,255.975148,nan,nan,19282.5,14.21534,0.07533,1,3.9388526,3.9388526,3.9388526,3,65883.099,0.292677
unbound_expansion,5.85,0.33468314,3.96096039,62.14432846,260.3095543,nan,nan,19287.0,14.215808,0.074093,1,3.9609604,3.9609604,3.9609604,3,66970.919,0.287991
unbound_expansion,5.9,0.33242988,3.98304161,63.18944334,264.6873213,nan,nan,19305.25,14.2177,0.072936,1,3.9830416,3.9830416,3.9830416,3,68069.321,0.283612
unbound_expansion,5.95,0.33020799,4.00509656,64.24494661,269.1086031,nan,nan,19315.75,14.218677,0.071777,1,4.0050966,4.0050966,4.0050966,3,69178.339,0.279217
unbound_expansion,6.0,0.32801681,4.02712553,65.31087505,273.5735537,nan,nan,19324.75,14.219521,0.070638,1,4.0271255,4.0271255,4.0271255,3,70298.011,0.274898
