policy,min_future_entropy_bits,min_admissible_mass,max_singular_mass,max_geometry_record_mi_bits,max_early_privacy_leakage_bits,max_interior_clock_record_mi_bits,clock_info_release_step,clock_leak_onset_step,final_mean_compactness,final_cumulative_late_decodable_bits,first_floor_violation_step,first_privacy_violation_step
hard_exclusion,0.20549078781730087,1.0,0.0,2.1007088966119194,0.0,4.4203789107791095e-15,-1,-1,0.9829076641373662,0.0,22,-1
horizon_transfer,4.6275140425805175,1.0,0.0,1.928188458103736,0.0,5.566726402970185e-15,7,-1,0.533417382408359,3.0,-1,-1
leaky_completion,4.6275140425805175,1.0,0.0,1.4955924807207686,0.003786836726898665,0.21037981816103957,6,6,0.47808881834261624,3.0,-1,9
naked_collapse,4.627334172563019,0.001477213076172433,0.07946261723473726,1.2981301996607089,0.2383878517042115,2.8542167131088163e-15,-1,-1,0.2920198923211847,0.0,1,1
quantum_completion,4.6275140425805175,1.0,0.0,1.4955924807207694,0.003786836726898665,5.507893201275476e-15,6,-1,0.47808881834261613,3.0,-1,-1
