policy,step,mean_compactness,mean_expansion,mean_curvature,future_entropy_bits,admissible_mass,singular_mass,triggered_mass,geometry_record_mi_bits,interior_clock_record_mi_bits,early_privacy_leakage_bits,late_decodable_bits,cumulative_late_decodable_bits,floor_bits,privacy_epsilon_bits,floor_violation,privacy_violation
naked_collapse,1,0.1343074064994248,-0.0835246226317355,0.02700877004746081,4.627334172563019,0.9448443890574373,0.05515561094256224,0.0,0.001689599336432443,3.201368585275307e-16,0.1654668328276868,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,2,0.1531212814678271,-0.09637581494688978,0.04165448136330119,5.019842720696582,0.885039734273593,0.05980465478384464,0.0,0.05233886520989728,6.295256345828822e-16,0.17941396435153434,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,3,0.17407086786487957,-0.11174491618318644,0.06221494483996824,5.278225197804579,0.8196731610540533,0.06536657321953943,0.0,0.2141896961087301,0.0,0.19609971965861853,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,4,0.19632302084312878,-0.13022816419249233,0.09280593054557178,5.497027832095334,0.7491664054521905,0.0705067556018629,0.0,0.4308683309566091,2.720083344420701e-16,0.2115202668055888,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,5,0.21940313183285526,-0.1523067908860042,0.14261745994229372,5.695763929952752,0.6744535478523019,0.07471285759988903,0.0,0.6556000334331131,1.0108987887593752e-15,0.22413857279966665,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,6,0.24234490580488363,-0.1776472007507537,0.23300198351778312,5.874111433741472,0.5966862013282855,0.07776734652401625,0.0,0.8707639157412632,0.0,0.23330203957204906,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,7,0.26286968196721483,-0.20332855024112115,0.3782496023634513,6.01819617100212,0.517223584093547,0.07946261723473726,0.0,1.0513805052475276,0.0,0.2383878517042115,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,8,0.2781121201030154,-0.2241685054213177,0.5381565692674531,6.115121332108725,0.4386160075097775,0.07860757658376975,0.0,1.1760747501158786,0.0,0.23582272975130963,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,9,0.28725074821080715,-0.2374483804698578,0.6601709298219579,6.16942805552759,0.36504618448209525,0.07356982302768192,0.0,1.2471010915123202,0.0,0.22070946908304612,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,10,0.29169613326093374,-0.24426535819736275,0.7311452243040768,6.195377769793301,0.3000876580671738,0.06495852641492099,0.0,1.2811969196767077,9.49040253135437e-16,0.19487557924476295,0.0,0.0,1.5,0.08,1.0,1.0
