mass_planck,compactness,areal_radius_planck,area_capacity_classical_bits,area_capacity_quantum_bits,toy_interior_budget_bits,toy_slot_capacity_bits,binding_constraint,area_capacity_over_interior_budget
0.25,0.12,4.166666666666667,78.68680801783323,157.37361603566646,2.909592061388687,3.9068905956085187,slot_resolution,27.043931368261184
0.25,0.35,1.4285714285714286,9.24971457515754,18.49942915031508,2.909592061388687,3.9068905956085187,slot_resolution,3.1790417281874377
0.25,0.66,0.7575757575757576,2.6012167939779576,5.202433587955915,2.909592061388687,3.9068905956085187,area_capacity,0.8940142601078076
0.25,0.78,0.641025641025641,1.8624096572268218,3.7248193144536437,2.909592061388687,3.9068905956085187,area_capacity,0.6400930501363593
0.25,1.0,0.5,1.1330900354567985,2.266180070913597,2.909592061388687,3.9068905956085187,area_capacity,0.38943261170296106
0.5,0.12,8.333333333333334,314.7472320713329,629.4944641426658,2.909592061388687,3.9068905956085187,slot_resolution,108.17572547304474
0.5,0.35,2.857142857142857,36.99885830063016,73.99771660126032,2.909592061388687,3.9068905956085187,slot_resolution,12.71616691274975
0.5,0.66,1.5151515151515151,10.40486717591183,20.80973435182366,2.909592061388687,3.9068905956085187,slot_resolution,3.5760570404312304
0.5,0.78,1.282051282051282,7.449638628907287,14.899277257814575,2.909592061388687,3.9068905956085187,slot_resolution,2.5603722005454372
0.5,1.0,1.0,4.532360141827194,9.064720283654388,2.909592061388687,3.9068905956085187,slot_resolution,1.5577304468118442
1.0,0.12,16.666666666666668,1258.9889282853317,2517.9778565706633,2.909592061388687,3.9068905956085187,slot_resolution,432.70290189217894
1.0,0.35,5.714285714285714,147.99543320252064,295.9908664050413,2.909592061388687,3.9068905956085187,slot_resolution,50.864667650999
1.0,0.66,3.0303030303030303,41.61946870364732,83.23893740729464,2.909592061388687,3.9068905956085187,slot_resolution,14.304228161724922
1.0,0.78,2.564102564102564,29.79855451562915,59.5971090312583,2.909592061388687,3.9068905956085187,slot_resolution,10.241488802181749
1.0,1.0,2.0,18.129440567308777,36.25888113461755,2.909592061388687,3.9068905956085187,slot_resolution,6.230921787247377
3.0,0.12,50.0,11330.900354567984,22661.80070913597,2.909592061388687,3.9068905956085187,slot_resolution,3894.32611702961
3.0,0.35,17.142857142857142,1331.9588988226858,2663.9177976453716,2.909592061388687,3.9068905956085187,slot_resolution,457.782008858991
3.0,0.66,9.09090909090909,374.5752183328259,749.1504366656518,2.909592061388687,3.9068905956085187,slot_resolution,128.7380534555243
3.0,0.78,7.692307692307692,268.1869906406624,536.3739812813247,2.909592061388687,3.9068905956085187,slot_resolution,92.17339921963575
3.0,1.0,6.0,163.16496510577898,326.32993021155795,2.909592061388687,3.9068905956085187,slot_resolution,56.078296085226384
10.0,0.12,166.66666666666669,125898.89282853316,251797.78565706633,2.909592061388687,3.9068905956085187,slot_resolution,43270.29018921789
10.0,0.35,57.142857142857146,14799.543320252063,29599.086640504127,2.909592061388687,3.9068905956085187,slot_resolution,5086.4667650999
10.0,0.66,30.3030303030303,4161.946870364733,8323.893740729465,2.909592061388687,3.9068905956085187,slot_resolution,1430.4228161724923
10.0,0.78,25.64102564102564,2979.8554515629153,5959.710903125831,2.909592061388687,3.9068905956085187,slot_resolution,1024.148880218175
10.0,1.0,20.0,1812.9440567308775,3625.888113461755,2.909592061388687,3.9068905956085187,slot_resolution,623.0921787247377
