policy,step,mean_compactness,source_entropy_bits,contraction_bits,sorted_bits,destroyed_bits,step_efficiency,record_entropy_bits,active_slots,slot_capacity_bits,bandwidth_limited,bandwidth_slack_bits
naked_collapse,1,0.13430740649942477,2.909592061388687,2.8841694717739723,0.04495850613477894,2.8392109656391935,0.015588025105586536,1.0263902409242671,6,3.9068905956085187,0.0,2.8392109656391935
naked_collapse,2,0.15312128146782716,4.627334172563018,4.453236082395038,0.3968220926844982,4.056413989710539,0.0891087032760858,1.258697154598336,7,3.9068905956085187,1.0,3.51006850292402
naked_collapse,3,0.17407086786487955,5.019842720696582,4.791997494415246,0.6663446213630326,4.125652873052213,0.13905362474408905,1.5364273170340386,10,3.9068905956085187,1.0,3.240545974245486
naked_collapse,4,0.19632302084312883,5.278225197804581,5.00964560827404,0.9016059163603934,4.108039691913646,0.17997399154768182,1.7743023131856952,10,3.9068905956085187,1.0,3.005284679248125
naked_collapse,5,0.21940313183285562,5.497027832095335,5.186507223936403,1.1182897968797387,4.0682174270566644,0.21561520086556255,1.9805343742745207,10,3.9068905956085187,1.0,2.7886007987287798
naked_collapse,6,0.24234490580488396,5.695763929952756,5.342360412828908,1.3174475953144693,4.024912817514439,0.24660402771606516,2.163190070530912,10,3.9068905956085187,1.0,2.5894430002940494
naked_collapse,7,0.26286968196721455,5.874111433741476,5.480585861440247,1.4828534187728823,3.997732442667364,0.2705647637428314,2.3107320862769423,10,3.9068905956085187,1.0,2.424037176835636
naked_collapse,8,0.2781121201030152,6.018196171002116,5.594103213673925,1.5976963641525757,3.996406849521349,0.28560366212894545,2.4111796088319526,10,3.9068905956085187,1.0,2.3091942314559426
naked_collapse,9,0.2872507482108068,6.11512133210872,5.672396771221983,1.6638084512034097,4.008588320018574,0.2933166557819935,2.468218608406883,10,3.9068905956085187,1.0,2.2430821444051094
naked_collapse,10,0.29169613326093285,6.1694280555275816,5.7174396951729225,1.695973812021953,4.021465883150969,0.29663169223346897,2.4956791489056367,10,3.9068905956085187,1.0,2.2109167835865655
naked_collapse,11,0.29337426629601376,6.195377769793284,5.73971911586999,1.7089185816641557,4.030800534205834,0.2977355768053344,2.506591810684663,10,3.9068905956085187,1.0,2.197972013944363
naked_collapse,12,0.29371360883159114,6.205712775747615,5.749136553961322,1.7125295974262247,4.036606956535097,0.29787596473878186,2.5095278604559095,10,3.9068905956085187,1.0,2.194360998182294
naked_collapse,13,0.29352528586593457,6.208573855079255,5.7522026514641516,1.71227153605997,4.0399311154041815,0.2976723248135447,2.5091835788588392,10,3.9068905956085187,1.0,2.1946190595485486
naked_collapse,14,0.2931957189343372,6.208357499314307,5.752526142566233,1.710777907901213,4.04174823466502,0.29739593797622027,2.5078120737405234,10,3.9068905956085187,1.0,2.1961126877073056
naked_collapse,15,0.2928804255668612,6.207162097539625,5.751879980170983,1.7091570791141124,4.042722901056871,0.29714755610448346,2.5063570100678776,10,3.9068905956085187,1.0,2.1977335164944067
naked_collapse,16,0.2926269019309312,6.20586778365019,5.751037834836632,1.7077906050973455,4.043247229739286,0.29695346373005704,2.505139382160506,10,3.9068905956085187,1.0,2.199099990511173
naked_collapse,17,0.2924387072680633,6.20477716106027,5.7502868063104025,1.7067520329269503,4.043534773383452,0.2968116357350992,2.504217069258595,10,3.9068905956085187,1.0,2.200138562681568
naked_collapse,18,0.2923049192694649,6.203948341439113,5.749700979693708,1.706003843587439,4.043697136106269,0.2967117506827841,2.5035538163362294,10,3.9068905956085187,1.0,2.2008867520210798
naked_collapse,19,0.29221218352341066,6.2033512541455345,5.749272974402587,1.705481096470744,4.043791877931843,0.29664291538496,2.503090882663748,10,3.9068905956085187,1.0,2.2014094991377746
naked_collapse,20,0.2921488870786243,6.20293406368317,5.748971463798545,1.7051225375212107,4.0438489262773345,0.2965961038871772,2.50277354273206,10,3.9068905956085187,1.0,2.201768058087308
naked_collapse,21,0.29210609897081535,6.2026478961344305,5.748763611638584,1.7048793985498245,4.043884213088759,0.2965645334760736,2.5025584345158323,10,3.9068905956085187,1.0,2.2020111970586944
naked_collapse,22,0.2920773509589422,6.202453839486804,5.74862222249227,1.7047157157565145,4.043906506735755,0.29654335417738553,2.502413656020207,10,3.9068905956085187,1.0,2.202174879852004
naked_collapse,23,0.29205811169784124,6.20232319602907,5.748526847537338,1.7046060325034396,4.043920815033898,0.29652919395056676,2.502316654844264,10,3.9068905956085187,1.0,2.2022845631050787
naked_collapse,24,0.2920452685887558,6.202235650757046,5.748462854874553,1.7045327529720111,4.043930101902542,0.2965197472793287,2.5022518543701713,10,3.9068905956085187,1.0,2.2023578426365074
