mass_planck,horizon_entropy_bits,interior_budget_quantum_bits,record_capacity_quantum_bits,record_capacity_classical_bits,quantum_capacity_margin_bits,chi_max_quantum_record,chi_max_classical_record
1.0,18.129440567308777,36.25888113461755,36.25888113461755,18.129440567308777,0.0,1.0,0.5
10.0,1812.9440567308775,3625.888113461755,3625.888113461755,1812.9440567308775,0.0,1.0,0.5
1000.0,18129440.567308776,36258881.13461755,36258881.13461755,18129440.567308776,0.0,1.0,0.5
1e+38,1.8129440567308776e+77,3.6258881134617553e+77,3.6258881134617553e+77,1.8129440567308776e+77,0.0,1.0,0.5
