protocol,round,logical_error,entanglement_fidelity,logical_p01,logical_p10,logical_bitflip_probability,logical_bitflip_asymmetry,logical_ptm_symmetry_pass,logical_ptm_xx,logical_ptm_yy,logical_ptm_zz,logical_ptm_z_shift,logical_coherent_information_bits,pauli_logical_p_i,pauli_logical_p_x,pauli_logical_p_y,pauli_logical_p_z,pauli_logical_error_probability,pauli_logical_bitflip_probability,pauli_logical_phaseflip_probability,pauli_logical_ptm_xx,pauli_logical_ptm_yy,pauli_logical_ptm_zz,pauli_logical_entanglement_fidelity,pauli_logical_coherent_information_bits,pauli_bitflip_consistency_error,updated,estimate_l1_error,meas_estimation_error,syndrome_mi_bits,logical_record_leakage_bits,q_star,eta_star,alignment_floor,proxy_p0,proxy_p1,proxy_p2,proxy_meas,calib_p0,calib_p1,calib_p2,calib_meas,calibration_fresh,correlated_gate,correlated_phase,data_crosstalk,data_crosstalk_z,leakage_error
uniform_decoder,0.0,0.0004516988246769957,0.999548301175323,0.0004516988246769957,0.0004516988246769957,0.0004516988246769957,0.0,1.0,1.0,0.999096602350646,0.999096602350646,0.0,0.9943290475603586,0.9900975266791251,0.0004473215702040475,4.37725447294799e-06,0.009450774496197863,0.009902473320874858,0.00045169882467699547,0.00945515175067081,0.9810896964986582,0.9802038078671962,0.999096602350646,0.9900975266791251,0.9171699369497532,2.168404344971009e-19,0.0,0.025213278493252358,0.006597372911830535,0.011657077407003067,3.055650882261758e-18,0.9995483011753235,0.03767126173257511,83.39906963351204,0.009578389440585977,0.0005362392521371939,0.000672092814024472,0.018597372911830536,0.009745160453584601,0.0007922497228470254,1e-07,0.01970688818437805,1.0,0.0002500146915549268,0.0001800073457774634,0.00020001193688837801,0.00016000550933309755,0.0003000017446221475
uniform_decoder,1.0,0.0017248086684347713,0.9982751913315653,0.0017248086684347713,0.0017248086684347713,0.0017248086684347713,0.0,1.0,1.0,0.9965503826631305,0.9965503826631305,0.0,0.9816811553898416,0.9795672370288958,0.001691847285310713,3.2961383124057204e-05,0.018707954302669458,0.02043276297110423,0.0017248086684347702,0.018740915685793516,0.962518168628413,0.9592003968240397,0.9965503826631306,0.9795672370288958,0.8473695979883994,1.0842021724855044e-18,0.0,0.025162573805327795,0.006712063304277274,0.01164693121978401,2.0460474477502295e-21,0.9995397702126281,0.037886350718974116,82.32050979428921,0.00961972794332322,0.0005512409700225707,0.0006664572813264158,0.018712063304277275,0.009745160453584601,0.0007922497228470254,1e-07,0.01970688818437805,0.0,0.00025002422200184573,0.00018001211100092287,0.00020001968037649964,0.00016000908325069217,0.00030000287636271916
uniform_decoder,2.0,0.0029887714841034603,0.9970112285158965,0.0029887714841034608,0.0029887714841034603,0.0029887714841034608,4.336808689942018e-19,1.0,1.0,0.994022457031793,0.994022457031793,-4.336808689942018e-19,0.9706300341195311,0.9692447384249815,0.00290424547690663,8.452600719682903e-05,0.027766490090915075,0.030755261575018535,0.002988771484103459,0.027851016098111903,0.9442979678037762,0.9386585288643567,0.994022457031793,0.9692447384249815,0.7871324636002419,1.734723475976807e-18,0.0,0.025108321482313203,0.006817891875835928,0.011648356511021663,1.8257713057985447e-19,0.9995270468839327,0.038083445536820415,80.5226654461868,0.009652754254137808,0.000575965839969883,0.0006629584235791075,0.018817891875835928,0.009745160453584601,0.0007922497228470254,1e-07,0.01970688818437805,0.0,0.0002500395708462438,0.0001800197854231219,0.00020003215131257307,0.00016001483906734142,0.00030000469903799143
uniform_decoder,3.0,0.004278285289499763,0.9957217147105002,0.004278285289499763,0.004278285289499763,0.004278285289499763,0.0,1.0,1.0,0.9914434294210005,0.9914434294210005,0.0,0.9601761970477775,0.9590918177494232,0.0041189768889036684,0.00015930840059609288,0.036629896961077074,0.04090818225057684,0.0042782852894997616,0.03678920536167317,0.9264215892766536,0.9185022523000386,0.9914434294210006,0.9590918177494232,0.7328042333097377,1.734723475976807e-18,0.0,0.02504804488674536,0.006914403825691015,0.011675970469249094,3.295125633699585e-18,0.9995069812667757,0.038260680309869205,77.60492194617012,0.009673498121833268,0.000617632148698255,0.0006608248427231178,0.018914403825691015,0.009745160453584601,0.0007922497228470254,1e-07,0.01970688818437805,0.0,0.00025006405656976416,0.00018003202828488209,0.0002000520459629334,0.00016002402121366156,0.0003000076067176595
uniform_decoder,4.0,0.005604246691410314,0.9943957533085896,0.005604246691410314,0.005604246691410314,0.005604246691410314,0.0,1.0,1.0,0.9887915066171794,0.9887915066171794,0.0,0.9500218397842835,0.9490944287349231,0.005346393326512729,0.00025785336489758513,0.04530132457366659,0.0509055712650769,0.005604246691410314,0.04555917793856418,0.9088816441228718,0.8987045641996414,0.9887915066171793,0.9490944287349231,0.6827974737514148,0.0,0.0,0.024977082475633763,0.007001189302261911,0.011756859535827079,2.0376278432636713e-21,0.9994738277783196,0.03841553186317519,73.00942596416634,0.009673913998168082,0.0006893791259307003,0.0006596244002674556,0.01900118930226191,0.009879507291240479,0.0007081552487659493,0.0007809474259381584,0.021081665868390855,1.0,0.0002501027483968017,0.00018005137419840086,0.00020008348307240138,0.00016003853064880063,0.00030001220137212015
uniform_decoder,5.0,0.006988518518987012,0.993011481481013,0.006988518518987013,0.006988518518987012,0.006988518518987012,8.673617379884035e-19,1.0,1.0,0.986022962962026,0.986022962962026,-8.673617379884035e-19,0.9399096446687952,0.9392285411019122,0.006606851905021765,0.0003816666139652456,0.05378294037910088,0.06077145889808789,0.006988518518987011,0.05416460699306612,0.8916707860138678,0.8792204154317548,0.9860229629620262,0.9392285411019122,0.6360784964249638,8.673617379884035e-19,0.0,0.024886830713890275,0.007077887228160794,0.011941875645408663,3.0740872262102656e-18,0.9994171047073,0.03854417444032743,66.12538293420137,0.00963888050354711,0.0008151628411776635,0.0006591259413849526,0.019077887228160794,0.009879507291240479,0.0007081552487659493,0.0007809474259381584,0.021081665868390855,0.0,0.00025016330875404563,0.00018008165437702282,0.00020013268836266207,0.00016006124078276712,0.00030001939291454286
uniform_decoder,6.0,0.008470879026070207,0.9915291209739298,0.008470879026070207,0.008470879026070207,0.008470879026070207,0.0,1.0,1.0,0.9830582419478596,0.9830582419478596,0.0,0.9295236429906502,0.929454004931429,0.007936776029843235,0.0005341029962269584,0.06207511604250093,0.07054599506857112,0.008470879026070193,0.06260921903872789,0.8747815619225444,0.8599762158553118,0.9830582419478598,0.929454004931429,0.5918070368245819,1.3877787807814457e-17,0.0,0.02476177982741853,0.007144189789457404,0.012323594474058067,0.0,0.9993179512960957,0.03864039199066145,56.653420451455574,0.00954089566658034,0.0010381012921052424,0.0006592232138958876,0.019144189789457405,0.009879507291240479,0.0007081552487659493,0.0007809474259381584,0.021081665868390855,0.0,0.00025025719760011085,0.00018012859880005543,0.00020020897305009005,0.00016009644910004159,0.00030003054221501314
uniform_decoder,7.0,0.010122007253612996,0.989877992746387,0.010122007253612996,0.010122007253612992,0.010122007253612994,3.469446951953614e-18,1.0,1.0,0.979755985492774,0.979755985492774,-3.469446951953614e-18,0.9183991147971728,0.9197031103456988,0.009400006361426405,0.000722000892186569,0.0701748824006883,0.08029688965430126,0.010122007253612973,0.07089688329287487,0.8582062334142505,0.8408502224757707,0.9797559854927741,0.9197031103456988,0.5491373705453164,2.0816681711721685e-17,0.0,0.024575217728887013,0.007199847896480857,0.013059765081493856,0.0,0.999143765847359,0.038693977800055415,45.19088345250571,0.00933208862579471,0.0014328051587807478,0.0006598884865375299,0.019199847896480857,0.009879507291240479,0.0007081552487659493,0.0007809474259381584,0.021081665868390855,0.0,0.0002504013722969021,0.00018020068614845106,0.000200326114991233,0.00016015051461133831,0.0003000476629602571
uniform_decoder,8.0,0.012060965349485248,0.9879390346505148,0.012060965349485246,0.012060965349485246,0.012060965349485246,0.0,1.0,1.0,0.9758780693010295,0.9758780693010295,0.0,0.9058343687189938,0.9098655990853431,0.011102696661249502,0.0009582686882357296,0.07807343556517171,0.09013440091465694,0.01206096534948523,0.07903170425340744,0.8419365914931853,0.8216477355471576,0.9758780693010296,0.9098655990853431,0.507076273283947,1.5612511283791264e-17,0.0,0.024285330025071463,0.007244678016644926,0.014389615243628253,0.0,0.9988431149149751,0.03868920519270153,33.442565466102224,0.008936283414987534,0.002117253233547167,0.0006611333263938368,0.019244678016644926,0.009089540399784796,0.0010553002044482267,0.0013556435746067868,0.0189209341390818,1.0,0.00025062065593258555,0.00018031032796629278,0.00020050428294522576,0.0001602327459747196,0.0003000737028919945
uniform_decoder,9.0,0.01446820754480099,0.9855317924551991,0.01446820754480099,0.014468207544800988,0.01446820754480099,1.734723475976807e-18,1.0,1.0,0.971063584910398,0.971063584910398,-1.734723475976807e-18,0.890863739110364,0.8997785270685583,0.013203352739446996,0.001264854805353984,0.08575326538664084,0.10022147293144182,0.01446820754480098,0.08701812019199483,0.8259637596160104,0.8020867637478245,0.9710635849103982,0.8997785270685583,0.46442617689983456,8.673617379884035e-18,0.0,0.023838953698176315,0.0072785708897978585,0.0166006473944372,6.823478492686412e-22,0.9983496709043578,0.038605967604618166,23.39289036747833,0.008253725166620929,0.0032443598527013284,0.0006629612825014286,0.01927857088979786,0.009089540399784796,0.0010553002044482267,0.0013556435746067868,0.0189209341390818,0.0,0.0002509509933138399,0.00018047549665691995,0.00020077268206749493,0.00016035662249268997,0.00030011293045601844
