protocol,window_start,step,round,updated,total_bits,exported_bits,retained_bits,contraction_bits,sorted_bits,destroyed_bits,sector_total_bits,sector_exported_bits,sector_retained_bits,sector_contraction_bits,sector_sorted_bits,sector_destroyed_bits,protected_exported_bits,protected_retained_bits,capacity_bits,record_entropy_bits,branches
uniform_decoder,0,0,0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
uniform_decoder,0,1,1,0.0,2.941535123205092,1.7212337482348847,1.2203013749702072,1.7796986250297928,1.7212337482348847,0.05846487679490808,1.941640290802614,1.7212337482348854,0.22040654256772862,1.7795934574322714,1.7212337482348854,0.05835970919738598,0.0,0.9998948324024782,2.0,2.000000000000001,4
uniform_decoder,0,2,2,0.0,2.9306753299871713,1.8797101804940406,1.0509651494931307,0.1693362254770765,0.15847643225915586,0.010859793217920632,1.931006745857745,1.8797101804940413,0.05129656536370364,0.16910997720402499,0.15847643225915586,0.010633544944869122,0.0,0.9996685841294267,2.0,0.49443610927652226,16
uniform_decoder,0,3,3,0.0,2.9285576914375233,1.9224969450186982,1.0060607464188251,0.04490440307430554,0.04278676452465757,0.002117638549647971,1.9291244502558083,1.9224969450186984,0.006627505237109865,0.044669060126593774,0.04278676452465713,0.0018822956019366455,0.0,0.9994332411817155,2.0,0.39421259809873105,64
uniform_decoder,0,4,4,0.0,2.9280252522953996,1.9272622942576856,1.000762958037714,0.005297788381111168,0.004765349238987415,0.0005324391421237529,1.928831820219438,1.9272622942576862,0.0015695259617518609,0.005057979275358004,0.004765349238987859,0.00029263003637014506,0.0,0.9991934320759618,2.0,0.3581028759921175,256
uniform_decoder,0,5,5,0.0,2.927718941171933,1.928555589822315,0.9991633513496179,0.0015996066880961113,0.0012932955646294264,0.0003063111234666849,1.9287752394500794,1.928555589822316,0.0002196496277635518,0.001349876333988309,0.0012932955646296485,5.658076935866063e-05,0.0,0.9989437017218546,2.0,0.3564814109388905,1024
uniform_decoder,0,6,6,0.0,2.9274430148938317,1.928713273479509,0.9987297414143228,0.0004336099352950651,0.00015768365719392996,0.0002759262781011351,1.9287659656034615,1.9287132734795105,5.269212395098144e-05,0.00016695750381257035,0.0001576836571945961,9.273846617974257e-06,0.0,0.9986770492903717,2.0,0.3571535040327373,4096
uniform_decoder,0,7,7,0.0,2.927147525864721,1.9287561936636766,0.9983913322010443,0.00033840921327854545,4.292018416762744e-05,0.000295489029110918,1.9287640277160254,1.9287561936636781,7.83405234727752e-06,4.485807160370392e-05,4.292018416762744e-05,1.9378874360764797e-06,0.0,0.9983834981486971,2.0,0.35921735103679175,16384
uniform_decoder,0,8,8,0.0,2.9268127584789885,1.9287618122970627,0.9980509461819258,0.0003403860191184549,5.618633386106353e-06,0.00033476738573234854,1.9287636980953513,1.9287618122970644,1.8857982868603074e-06,5.948254060417213e-06,5.618633386328398e-06,3.2962067408881524e-07,0.0,0.9980490603836394,2.0,0.36206322206424335,65536
uniform_decoder,44,0,44,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
uniform_decoder,44,1,45,0.0,2.5558332821166636,1.422890936071994,1.1329423460446697,1.8670576539553303,1.422890936071994,0.4441667178833364,1.573162157381693,1.4228909360719941,0.15027122130969883,1.8497287786903012,1.4228909360719941,0.42683784261830704,0.0,0.982671124734971,2.0,2.000000000000001,4
uniform_decoder,44,2,46,0.0,2.481118225376239,1.5107955734772265,0.9703226518990125,0.16261969414565725,0.08790463740523258,0.07471505674042467,1.5317274759999981,1.5107955734772263,0.020931902522771884,0.12933931878692695,0.08790463740523213,0.041434681381694816,0.0,0.9493907493762404,2.0,0.9333104497234097,16
uniform_decoder,44,3,47,0.0,2.4392425292492503,1.525237284523527,0.9140052447257234,0.056317407173289036,0.014441711046300432,0.041875696126988604,1.5273770846009005,1.5252372845235262,0.002139800077374243,0.01879210244539764,0.014441711046299988,0.004350391399097653,0.0,0.9118654446483492,2.0,0.919072593527005,64
uniform_decoder,44,4,48,0.0,2.3987644785151354,1.5265814952699903,0.8721829832451451,0.04182226148057833,0.0013442107464634034,0.04047805073411492,1.526840965011373,1.5265814952699892,0.00025946974138379986,0.0018803303359904433,0.0013442107464629593,0.000536119589527484,0.0,0.8719235135037611,2.0,0.9437141737183806,256
