protocol,anisotropy,drift_cycles,logical_error,entanglement_fidelity,updates,avg_l1_estimation_error,worst_q_star,worst_eta_star,worst_alignment_floor,best_static_logical_error,adaptive_benefit_log10,overactive_penalty_log10,oracle_gap_log10,best_protocol
uniform_decoder,0.0,0.0,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
static_tailored,0.0,0.0,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
adaptive_decoder,0.0,0.0,0.07664199628361998,0.92335800371638,4.0,0.0,0.999019358691328,0.047773848568606,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
overactive_decoder,0.0,0.0,0.08166799614385913,0.9183320038561409,48.0,0.0,0.998915793810206,0.047773848568606,44.063434629241044,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
oracle_decoder,0.0,0.0,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
uniform_decoder,0.0,0.08333333333333333,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
static_tailored,0.0,0.08333333333333333,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
adaptive_decoder,0.0,0.08333333333333333,0.07664199628361998,0.92335800371638,4.0,0.0,0.999019358691328,0.047773848568606,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
overactive_decoder,0.0,0.08333333333333333,0.08166799614385913,0.9183320038561409,48.0,0.0,0.998915793810206,0.047773848568606,44.063434629241044,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
oracle_decoder,0.0,0.08333333333333333,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
uniform_decoder,0.0,0.16666666666666666,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
static_tailored,0.0,0.16666666666666666,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
adaptive_decoder,0.0,0.16666666666666666,0.07664199628361998,0.92335800371638,4.0,0.0,0.999019358691328,0.047773848568606,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
overactive_decoder,0.0,0.16666666666666666,0.08166799614385913,0.9183320038561409,48.0,0.0,0.998915793810206,0.047773848568606,44.063434629241044,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
oracle_decoder,0.0,0.16666666666666666,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
uniform_decoder,0.0,0.25,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
static_tailored,0.0,0.25,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
adaptive_decoder,0.0,0.25,0.07664199628361998,0.92335800371638,4.0,0.0,0.999019358691328,0.047773848568606,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
overactive_decoder,0.0,0.25,0.08166799614385913,0.9183320038561409,48.0,0.0,0.998915793810206,0.047773848568606,44.063434629241044,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
oracle_decoder,0.0,0.25,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
uniform_decoder,0.0,0.3333333333333333,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
static_tailored,0.0,0.3333333333333333,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
adaptive_decoder,0.0,0.3333333333333333,0.07664199628361998,0.92335800371638,4.0,0.0,0.999019358691328,0.047773848568606,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
overactive_decoder,0.0,0.3333333333333333,0.08166799614385913,0.9183320038561409,48.0,0.0,0.998915793810206,0.047773848568606,44.063434629241044,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
oracle_decoder,0.0,0.3333333333333333,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
uniform_decoder,0.0,0.41666666666666663,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
static_tailored,0.0,0.41666666666666663,0.07621119644798043,0.9237888035520195,0.0,0.0,0.999019358691328,0.046162270691328,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
adaptive_decoder,0.0,0.41666666666666663,0.07664199628361998,0.92335800371638,4.0,0.0,0.999019358691328,0.047773848568606,47.07355307501777,0.07621119644798043,-0.002448028509766442,0.027585091376011422,0.0024480285097664735,uniform_decoder
