protocol,rounds,logical_error,entanglement_fidelity,updates,avg_l1_estimation_error,avg_meas_estimation_error,avg_syndrome_mi_bits,worst_q_star,worst_eta_star,worst_alignment_floor,best_static_logical_error,adaptive_benefit_log10,overactive_penalty_log10,oracle_gap_log10,best_protocol
uniform_decoder,96.0,0.15504481546035875,0.8449551845396412,0.0,0.023815499593171075,0.0011528116749362088,0.22623888001209067,0.9993404638355858,0.060231356269472444,74.98585488044687,0.15504481546035875,-0.060596412659584833,0.08162092763480257,-0.086946328384317,uniform_decoder
static_tailored,96.0,0.38630560463167896,0.613694395368321,0.0,0.03438523759516781,0.0025411519060766614,0.22623888001209067,0.999404361606544,0.054449055648102304,66.50787205956263,0.15504481546035875,-0.060596412659584833,0.08162092763480257,-0.086946328384317,uniform_decoder
adaptive_decoder,96.0,0.17825990104919637,0.8217400989508037,4.0,0.01660791739019512,0.0006780623624034147,0.22623888001209067,0.9996462738168906,0.05787452738598251,127.23235141759568,0.15504481546035875,-0.060596412659584833,0.08162092763480257,-0.086946328384317,uniform_decoder
overactive_decoder,96.0,0.21511692873162805,0.784883071268372,96.0,0.00806206172706202,0.001028639804138652,0.22623888001209067,0.999557380859024,0.05787452738598251,105.43984240596843,0.15504481546035875,-0.060596412659584833,0.08162092763480257,-0.086946328384317,uniform_decoder
oracle_decoder,96.0,0.21777097196918926,0.7822290280308107,0.0,0.0,0.0,0.22623888001209067,0.9996462738168906,0.057913581422576535,127.23235141759568,0.15504481546035875,-0.060596412659584833,0.08162092763480257,-0.086946328384317,uniform_decoder
