protocol,round,logical_error,entanglement_fidelity,updated,estimate_l1_error,meas_estimation_error,syndrome_mi_bits,q_star,eta_star,alignment_floor,channel_p0,channel_p1,channel_p2,channel_meas,calib_p0,calib_p1,calib_p2,calib_meas,calibration_fresh,syndrome_rate_01,syndrome_rate_12
uniform_decoder,0.0,0.00078648348199283,0.9992135165180072,0.0,0.032962580233262644,0.002427054196902482,0.193867357680929,0.999213516518007,0.0589751362465919,74.98585488044687,0.028481290117015196,0.003759354941987726,0.003759354941764827,0.014427054196902482,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,1.0,0.04925,0.02125
uniform_decoder,1.0,0.0024881469326797517,0.9975118530673203,0.0,0.033200029390680424,0.002538291055825712,0.19602416931683342,0.9991939665319006,0.05914122012458281,73.37315690381637,0.028787792827848623,0.004159033286044574,0.0034287301511236267,0.014538291055825712,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.04475,0.02175
uniform_decoder,2.0,0.004202620911948668,0.9957973790880513,0.0,0.03315172140694904,0.002638429909742083,0.19840521548262735,0.9991706463430885,0.05919768496709611,71.37809603148939,0.0289478477194849,0.004639055896082759,0.0031570704164531056,0.014638429909742083,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.04575,0.0235
uniform_decoder,3.0,0.005956993101855709,0.9940430068981443,0.0,0.032803605970117805,0.002727033617522122,0.20098510035347256,0.9991435167890064,0.05912483041591292,69.03209503350396,0.028950828656302947,0.005211682030202612,0.0029355406559825265,0.014727033617522122,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.05375,0.025
uniform_decoder,4.0,0.007754068251069877,0.9922459317489302,0.0,0.03213822138012489,0.0028037158700101837,0.20373173783595733,0.9991126359266387,0.058902604215168165,66.3792979493143,0.028784359322713705,0.005889641327865912,0.002756496614722902,0.014803715870010184,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.04775,0.02475
uniform_decoder,5.0,0.009597028465491328,0.9904029715345086,0.0,0.031136686496009282,0.0028681430683930188,0.20660400075231256,0.9990782169331441,0.05851153036921965,63.476464770391495,0.02843533474153467,0.006685286770073433,0.002613361475451953,0.014868143068393019,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.0495,0.02275
uniform_decoder,6.0,0.011488560677752994,0.988511439322247,0.0,0.029781672591276884,0.0029200360537190422,0.2095496117620716,0.9990406990022117,0.05793415924724808,60.39205565387468,0.027891489752301896,0.00760933618582356,0.002500480975201454,0.014920036053719042,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.0465,0.02375
uniform_decoder,7.0,0.013430560331055354,0.9865694396689446,0.0,0.028061328492494875,0.0029591717103981136,0.21250400560966534,0.9990008181452801,0.05715705625422618,57.20385732009489,0.027143515790454924,0.008669201313165807,0.0024129859847942417,0.014959171710398114,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.046,0.0275
uniform_decoder,8.0,0.015423758336198704,0.9845762416638013,0.0,0.025973902176106324,0.002985384476120286,0.21539101873563912,0.9989596565739073,0.05617320850871178,53.994870443585235,0.02618760173329754,0.009867015751083296,0.00234668380610792,0.014985384476120286,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,1.0,0.04975,0.02675
uniform_decoder,9.0,0.01746733878022936,0.9825326612197707,0.0,0.023532464965461575,0.0029985678018101813,0.21812618727209152,0.9989186432443572,0.054984534800303346,50.84772857188859,0.025028087176918665,0.01119762963168294,0.002297992579774151,0.014998567801810182,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.052,0.0265
uniform_decoder,10.0,0.01955862444751785,0.9804413755524821,0.0,0.02206278653357424,0.002998675617827854,0.2206230227842984,0.9988794797403335,0.05360397881929983,47.83847356339229,0.02367971101183441,0.012647000685675489,0.002263925163935657,0.014998675617827854,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.05,0.02875
uniform_decoder,11.0,0.021692921180669265,0.9783070788193308,0.0,0.022118189971749025,0.0029857238762377447,0.2228018448755288,0.998843980242029,0.052056541425429696,45.03084057732589,0.022168805398437928,0.014191503162737307,0.0022421185894262088,0.014985723876237745,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.04575,0.03075
uniform_decoder,12.0,0.023863597444769055,0.9761364025552309,0.0,0.022100553391238016,0.0029597922528633545,0.22459974457563145,0.99881384215428,0.05037867591522331,42.47215165924656,0.020532838802705875,0.01579860839441686,0.002230893805884716,0.014959792252863355,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.04475,0.03
uniform_decoder,13.0,0.026062427644116655,0.9739375723558833,0.0,0.022017816044758415,0.002921026105870951,0.22597943283535776,0.99879039605201,0.04939760971376672,40.83783770369805,0.01881802268685935,0.017429114839960944,0.0022293214820618807,0.014921026105870951,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.0495,0.0345
uniform_decoder,14.0,0.028280158558406626,0.9717198414415934,0.0,0.021878621585182702,0.0028696387981159196,0.22693458157028054,0.9987744031641691,0.04925125753865427,40.18552928562688,0.017075216219648828,0.019040673101131878,0.002237267735598002,0.01486963879811592,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.0465,0.0375
uniform_decoder,15.0,0.030507194735608516,0.9694928052643915,0.0,0.021691426485852053,0.0028059144962068773,0.2274900534039039,0.9987659608752599,0.049061720523161254,39.757021912490195,0.015354901942002503,0.020591926009745812,0.0022554014658962627,0.014805914496206878,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.04575,0.036
uniform_decoder,16.0,0.032734269111652635,0.9672657308883473,0.0,0.021463519553475655,0.0027302115573768007,0.22769691935230027,0.9987645412035625,0.04883613578287969,39.528745048965675,0.013702314547799932,0.02204636542821386,0.002285160422538137,0.014730211557376801,0.013998356835489967,0.02061065295960212,0.002361578408392762,0.012493738917107176,1.0,0.0445,0.0355
uniform_decoder,17.0,0.03495298157072336,0.9650470184292766,0.0,0.021200148628624245,0.002642966602449193,0.22762372612543133,0.9987691409969178,0.04858020065924278,39.46853420058178,0.012153730693665701,0.023375107807654248,0.0023286898726957053,0.014642966602449193,0.013998356835489967,0.02061065295960212,0.002361578408392762,0.012493738917107176,0.0,0.04725,0.0395
uniform_decoder,18.0,0.03715613929648686,0.9628438607035131,0.0,0.02343486392423923,0.0025446993457235827,0.2273463948307334,0.9987784893021335,0.048297750123177344,39.53935909651535,0.010734514131882358,0.024558156640345174,0.002388778584223585,0.014544699345723583,0.013998356835489967,0.02061065295960212,0.002361578408392762,0.012493738917107176,0.0,0.05025,0.0535
